old_content_id,current_content_id,title,content_type_id,previous_address,current_address,change_type,db_action,target_is_active,inactive_reason,verification_count,region_status_round1,region_status_round2,region_status_round3,detail_status_round1,detail_status_round2,detail_status_round3,keyword_status_round1,keyword_status_round2,keyword_status_round3,final_decision,concentration_mapping_action,verified_at_round1,verified_at_round2,verified_at_round3,applied_at,sync_run_id,note,changed_fields,previous_values_json,current_values_json
126522,126522,서울 동관왕묘,12,서울특별시 종로구 난계로27길 84,서울특별시 종로구 난계로27길 84,updated,update_list_fields,true,,,,,,,,,,,,update_list_fields,none,,,,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,사용자 검토에서 의미 있는 장소 정보 변경으로 확정했다.,latitude|longitude|source_modified_at,"{""latitude"":""37.5727080048934"",""longitude"":""127.018422930451"",""source_modified_at"":""2026-02-06 05:25:01+00""}","{""latitude"":""37.5727080049"",""longitude"":""127.0184229305"",""source_modified_at"":""2026-07-27T13:14:42+09:00""}"
250338,250338,서울 관상감 관천대,12,서울특별시 종로구 원서동,서울특별시 종로구 원서동,updated,update_list_fields,true,,,,,,,,,,,,update_list_fields,none,,,,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,사용자 검토에서 의미 있는 장소 정보 변경으로 확정했다.,latitude|longitude|source_modified_at,"{""latitude"":""37.5780873539802"",""longitude"":""126.988011854692"",""source_modified_at"":""2026-02-25 05:21:13+00""}","{""latitude"":""37.5777762178"",""longitude"":""126.9880090992"",""source_modified_at"":""2026-07-28T16:45:06+09:00""}"
1603677,1603677,동십자각,12,서울특별시 종로구 삼청로 1,서울특별시 종로구 삼청로 1,updated,update_list_fields,true,,,,,,,,,,,,update_list_fields,none,,,,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,사용자 검토에서 의미 있는 장소 정보 변경으로 확정했다.,latitude|longitude|source_modified_at,"{""latitude"":""37.576133703"",""longitude"":""126.9794373301"",""source_modified_at"":""2025-12-24 07:06:38+00""}","{""latitude"":""37.5760791102"",""longitude"":""126.9794210836"",""source_modified_at"":""2026-07-27T13:41:17+09:00""}"
1870779,,담소정,32,서울특별시 종로구 북촌로9길 16-2 (가회동),,missing_from_source,deactivate_old_row,false,missing_from_source,3,missing,missing,missing,no_data,no_data,no_data,no_data,no_data,no_data,deactivate_missing,none,2026-07-29T17:17:50+09:00,2026-07-29T17:30:37+09:00,2026-07-29T17:50:18+09:00,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,3회 연속 목록 누락 및 상세조회 no_data로 비활성화한다.,,,
1889319,,한양의 500년 도읍을 거닐다,25,,,missing_from_source,deactivate_old_row,false,missing_from_source,3,missing,missing,missing,no_data,no_data,no_data,no_data,no_data,no_data,deactivate_missing,none,2026-07-29T17:17:50+09:00,2026-07-29T17:30:37+09:00,2026-07-29T17:50:18+09:00,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,3회 연속 목록 누락 및 상세조회 no_data로 비활성화한다.,,,
1889325,,옛 서울의 아름다움에 반하다,25,,,missing_from_source,deactivate_old_row,false,missing_from_source,3,missing,missing,missing,no_data,no_data,no_data,no_data,no_data,no_data,deactivate_missing,none,2026-07-29T17:17:50+09:00,2026-07-29T17:30:37+09:00,2026-07-29T17:50:18+09:00,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,3회 연속 목록 누락 및 상세조회 no_data로 비활성화한다.,,,
1915423,,도시의 고풍스러운 정취를 즐기다,25,,,missing_from_source,deactivate_old_row,false,missing_from_source,3,missing,missing,missing,no_data,no_data,no_data,no_data,no_data,no_data,deactivate_missing,none,2026-07-29T17:17:50+09:00,2026-07-29T17:30:37+09:00,2026-07-29T17:50:18+09:00,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,3회 연속 목록 누락 및 상세조회 no_data로 비활성화한다.,,,
1915680,,동대문 투어하기,25,,,missing_from_source,deactivate_old_row,false,missing_from_source,3,missing,missing,missing,no_data,no_data,no_data,no_data,no_data,no_data,deactivate_missing,none,2026-07-29T17:17:50+09:00,2026-07-29T17:30:37+09:00,2026-07-29T17:50:18+09:00,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,3회 연속 목록 누락 및 상세조회 no_data로 비활성화한다.,,,
1920563,,고풍스러움이 흐르는 북촌,25,,,missing_from_source,deactivate_old_row,false,missing_from_source,3,missing,missing,missing,no_data,no_data,no_data,no_data,no_data,no_data,deactivate_missing,none,2026-07-29T17:17:50+09:00,2026-07-29T17:30:37+09:00,2026-07-29T17:50:18+09:00,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,3회 연속 목록 누락 및 상세조회 no_data로 비활성화한다.,,,
1951271,,사라진 성곽길을 따라 걷기,25,,,missing_from_source,deactivate_old_row,false,missing_from_source,3,missing,missing,missing,no_data,no_data,no_data,no_data,no_data,no_data,deactivate_missing,none,2026-07-29T17:17:50+09:00,2026-07-29T17:30:37+09:00,2026-07-29T17:50:18+09:00,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,3회 연속 목록 누락 및 상세조회 no_data로 비활성화한다.,,,
