content_id,title,content_type_id,change_type,changed_columns,previous_values_json,current_values_json,baseline_snapshot,compared_at
1113581,맥스타일 (maxtyle),38,added,,,"{""content_id"": ""1113581"", ""content_type_id"": ""38"", ""title"": ""맥스타일 (maxtyle)"", ""address"": ""서울특별시 중구 마장로 3"", ""latitude"": ""37.5687500107929"", ""longitude"": ""127.010507149056"", ""area_code"": ""11"", ""district_code"": ""140"", ""lcls_systm1"": ""SH"", ""lcls_systm2"": ""SH02"", ""lcls_systm3"": ""SH020100"", ""source_modified_at"": ""2026-02-25 16:56:59+09:00"", ""first_image_url"": ""https://tong.visitkorea.or.kr/cms/resource/93/1984393_image2_1.jpg"", ""thumbnail_url"": ""https://tong.visitkorea.or.kr/cms/resource/93/1984393_image3_1.jpg"", ""list_fetched_at"": ""2026-08-20T12:27:54.134316+09:00""}",places_api_snapshot_20260810.csv,2026-08-20T12:27:54.134316+09:00
1198901,배재학당역사박물관,14,added,,,"{""content_id"": ""1198901"", ""content_type_id"": ""14"", ""title"": ""배재학당역사박물관"", ""address"": ""서울특별시 중구 서소문로11길 19 (정동)"", ""latitude"": ""37.5638516791"", ""longitude"": ""126.9728160596"", ""area_code"": ""11"", ""district_code"": ""140"", ""lcls_systm1"": ""VE"", ""lcls_systm2"": ""VE07"", ""lcls_systm3"": ""VE070100"", ""source_modified_at"": ""2025-09-09 10:12:37+09:00"", ""first_image_url"": ""http://tong.visitkorea.or.kr/cms/resource/19/3533219_image2_1.jpg"", ""thumbnail_url"": ""http://tong.visitkorea.or.kr/cms/resource/19/3533219_image3_1.jpg"", ""list_fetched_at"": ""2026-08-20T12:27:54.134316+09:00""}",places_api_snapshot_20260810.csv,2026-08-20T12:27:54.134316+09:00
126485,남산공원(서울),12,added,,,"{""content_id"": ""126485"", ""content_type_id"": ""12"", ""title"": ""남산공원(서울)"", ""address"": ""서울특별시 중구 삼일대로 231 (예장동)"", ""latitude"": ""37.5556863093"", ""longitude"": ""126.9922311881"", ""area_code"": ""11"", ""district_code"": ""140"", ""lcls_systm1"": ""VE"", ""lcls_systm2"": ""VE03"", ""lcls_systm3"": ""VE030500"", ""source_modified_at"": ""2025-09-17 14:59:11+09:00"", ""first_image_url"": ""http://tong.visitkorea.or.kr/cms/resource/56/3539656_image2_1.jpg"", ""thumbnail_url"": ""http://tong.visitkorea.or.kr/cms/resource/56/3539656_image3_1.jpg"", ""list_fetched_at"": ""2026-08-20T12:27:54.134316+09:00""}",places_api_snapshot_20260810.csv,2026-08-20T12:27:54.134316+09:00
126491,장충단공원,12,added,,,"{""content_id"": ""126491"", ""content_type_id"": ""12"", ""title"": ""장충단공원"", ""address"": ""서울특별시 중구 동호로 261 (장충동2가)"", ""latitude"": ""37.5588195041"", ""longitude"": ""127.0048160637"", ""area_code"": ""11"", ""district_code"": ""140"", ""lcls_systm1"": ""VE"", ""lcls_systm2"": ""VE03"", ""lcls_systm3"": ""VE030100"", ""source_modified_at"": ""2025-07-30 08:43:01+09:00"", ""first_image_url"": ""http://tong.visitkorea.or.kr/cms/resource/56/3077756_image2_1.JPG"", ""thumbnail_url"": ""http://tong.visitkorea.or.kr/cms/resource/56/3077756_image3_1.JPG"", ""list_fetched_at"": ""2026-08-20T12:27:54.134316+09:00""}",places_api_snapshot_20260810.csv,2026-08-20T12:27:54.134316+09:00
126509,덕수궁,12,added,,,"{""content_id"": ""126509"", ""content_type_id"": ""12"", ""title"": ""덕수궁"", ""address"": ""서울특별시 중구 세종대로 99 (정동)"", ""latitude"": ""37.565054919430565"", ""longitude"": ""126.97657463444833"", ""area_code"": ""11"", ""district_code"": ""140"", ""lcls_systm1"": ""HS"", ""lcls_systm2"": ""HS01"", ""lcls_systm3"": ""HS010100"", ""source_modified_at"": ""2026-05-21 14:46:42+09:00"", ""first_image_url"": ""https://tong.visitkorea.or.kr/cms/resource/44/3584644_image2_1.jpg"", ""thumbnail_url"": ""https://tong.visitkorea.or.kr/cms/resource/44/3584644_image3_1.jpg"", ""list_fetched_at"": ""2026-08-20T12:27:54.134316+09:00""}",places_api_snapshot_20260810.csv,2026-08-20T12:27:54.134316+09:00
126747,남산골한옥마을,12,added,,,"{""content_id"": ""126747"", ""content_type_id"": ""12"", ""title"": ""남산골한옥마을"", ""address"": ""서울특별시 중구 퇴계로34길 28 (필동2가)"", ""latitude"": ""37.5597775194"", ""longitude"": ""126.9932865315"", ""area_code"": ""11"", ""district_code"": ""140"", ""lcls_systm1"": ""HS"", ""lcls_systm2"": ""HS01"", ""lcls_systm3"": ""HS010600"", ""source_modified_at"": ""2025-07-08 17:05:01+09:00"", ""first_image_url"": ""http://tong.visitkorea.or.kr/cms/resource/94/2932494_image2_1.bmp"", ""thumbnail_url"": ""http://tong.visitkorea.or.kr/cms/resource/94/2932494_image3_1.bmp"", ""list_fetched_at"": ""2026-08-20T12:27:54.134316+09:00""}",places_api_snapshot_20260810.csv,2026-08-20T12:27:54.134316+09:00
126804,서울 명동성당,12,added,,,"{""content_id"": ""126804"", ""content_type_id"": ""12"", ""title"": ""서울 명동성당"", ""address"": ""서울특별시 중구 명동길 74 (명동2가)"", ""latitude"": ""37.56367587"", ""longitude"": ""126.9867758233"", ""area_code"": ""11"", ""district_code"": ""140"", ""lcls_systm1"": ""HS"", ""lcls_systm2"": ""HS03"", ""lcls_systm3"": ""HS030200"", ""source_modified_at"": ""2026-07-13 15:37:45+09:00"", ""first_image_url"": """", ""thumbnail_url"": """", ""list_fetched_at"": ""2026-08-20T12:27:54.134316+09:00""}",places_api_snapshot_20260810.csv,2026-08-20T12:27:54.134316+09:00
127015,대한성공회 서울주교좌성당,12,added,,,"{""content_id"": ""127015"", ""content_type_id"": ""12"", ""title"": ""대한성공회 서울주교좌성당"", ""address"": ""서울특별시 중구 세종대로21길 15 (정동)"", ""latitude"": ""37.5674235431"", ""longitude"": ""126.9760378872"", ""area_code"": ""11"", ""district_code"": ""140"", ""lcls_systm1"": ""HS"", ""lcls_systm2"": ""HS03"", ""lcls_systm3"": ""HS030200"", ""source_modified_at"": ""2025-12-01 16:40:49+09:00"", ""first_image_url"": ""http://tong.visitkorea.or.kr/cms/resource/54/3568354_image2_1.jpg"", ""thumbnail_url"": ""http://tong.visitkorea.or.kr/cms/resource/54/3568354_image3_1.jpg"", ""list_fetched_at"": ""2026-08-20T12:27:54.134316+09:00""}",places_api_snapshot_20260810.csv,2026-08-20T12:27:54.134316+09:00
128162,숭례문,12,added,,,"{""content_id"": ""128162"", ""content_type_id"": ""12"", ""title"": ""숭례문"", ""address"": ""서울특별시 중구 세종대로 40"", ""latitude"": ""37.5599855058"", ""longitude"": ""126.9752992762"", ""area_code"": ""11"", ""district_code"": ""140"", ""lcls_systm1"": ""HS"", ""lcls_systm2"": ""HS01"", ""lcls_systm3"": ""HS010300"", ""source_modified_at"": ""2025-07-29 14:55:34+09:00"", ""first_image_url"": ""http://tong.visitkorea.or.kr/cms/resource/39/2612539_image2_1.jpg"", ""thumbnail_url"": ""http://tong.visitkorea.or.kr/cms/resource/39/2612539_image3_1.jpg"", ""list_fetched_at"": ""2026-08-20T12:27:54.134316+09:00""}",places_api_snapshot_20260810.csv,2026-08-20T12:27:54.134316+09:00
128776,남산케이블카,12,added,,,"{""content_id"": ""128776"", ""content_type_id"": ""12"", ""title"": ""남산케이블카"", ""address"": ""서울특별시 중구 소파로 83"", ""latitude"": ""37.556997122"", ""longitude"": ""126.9841041137"", ""area_code"": ""11"", ""district_code"": ""140"", ""lcls_systm1"": ""EX"", ""lcls_systm2"": ""EX07"", ""lcls_systm3"": ""EX070200"", ""source_modified_at"": ""2025-12-31 11:02:23+09:00"", ""first_image_url"": ""http://tong.visitkorea.or.kr/cms/resource/50/3590450_image2_1.jpg"", ""thumbnail_url"": ""http://tong.visitkorea.or.kr/cms/resource/50/3590450_image3_1.jpg"", ""list_fetched_at"": ""2026-08-20T12:27:54.134316+09:00""}",places_api_snapshot_20260810.csv,2026-08-20T12:27:54.134316+09:00
