content_id,place_title,concentration_title,concentration_search_key,concentration_search_keys,concentration_aliases,match_status,match_method,confidence_score,verified_at
126519,서울 암사동 유적,서울 암사동 유적,암사동,"[""암사동"", ""유적"", ""서울""]",[],matched,exact,1.0000,
127375,길동생태공원,길동생태공원,,"[""길동생태공원""]",[],matched,exact,1.0000,
127376,천호공원,천호공원,,"[""천호공원""]",[],matched,exact,1.0000,
127379,구암서원 터(구암정),구암서원 터(구암정),구암서원,"[""구암서원"", ""터""]",[],matched,exact,1.0000,
130178,암사동 선사유적박물관,암사선사유적박물관,,"[""암사선사유적박물관""]",[],matched,manual,1.0000,
250252,광나루한강공원,광나루한강공원,,"[""광나루한강공원""]",[],matched,exact,1.0000,
2741571,고분다리전통시장,고분다리전통시장,,"[""고분다리전통시장""]",[],matched,exact,1.0000,
2741602,암사종합시장,암사종합시장,,"[""암사종합시장""]",[],matched,exact,1.0000,
2741605,길동복조리시장,길동복조리시장,,"[""길동복조리시장""]",[],matched,exact,1.0000,
2741610,천호자전거거리,천호자전거거리,,"[""천호자전거거리""]",[],matched,exact,1.0000,
2751863,둔촌역전통시장,둔촌역전통시장,,"[""둔촌역전통시장""]",[],matched,exact,1.0000,
2761661,구강사,구강사,,"[""구강사""]",[],matched,exact,1.0000,
2773317,일자산 허브천문공원,허브천문공원,,"[""허브천문공원""]",[],matched,manual,1.0000,
814195,광나루한강공원 암사생태공원,광나루한강공원 암사생태공원,암사생태공원,"[""암사생태공원"", ""광나루한강공원""]",[],matched,exact,1.0000,
