content_id,place_title,concentration_title,concentration_search_key,concentration_search_keys,concentration_aliases,match_status,match_method,confidence_score,verified_at
126501,개운사(서울),개운사(서울),,"[""개운사(서울)"", ""개운사""]",[],matched,exact,1.0000,
126506,흥천사,흥천사,,"[""흥천사""]",[],matched,exact,1.0000,
127616,서울 정릉(신덕황후) [유네스코 세계유산],서울 정릉(신덕왕후) [유네스코 세계유산],정릉,"[""정릉"", ""서울""]",[],matched,normalized,1.0000,
128866,길상사(서울),길상사(서울),,"[""길상사(서울)"", ""길상사""]",[],matched,exact,1.0000,
1395466,만해 한용운 심우장,만해한용운심우장,,"[""만해한용운심우장""]",[],matched,exact,1.0000,
2372228,우리옛돌박물관,우리옛돌박물관,,"[""우리옛돌박물관""]",[],matched,exact,1.0000,
250396,서울 의릉(경종·선의왕후) [유네스코 세계유산],"서울 의릉(경종,선의왕후) [유네스코 세계유산]",의릉,"[""의릉"", ""서울""]",[],matched,normalized,1.0000,
2758176,정릉아리랑시장,아리랑골목시장(정릉 아리랑 골목시장),아리랑골목시장,"[""아리랑골목시장"", ""아리랑""]",[],matched,manual,1.0000,
2758180,정릉시장,정릉시장,,"[""정릉시장""]",[],matched,exact,1.0000,
2773408,밤나무골시장,밤나무골시장,,"[""밤나무골시장""]",[],matched,exact,1.0000,
2779456,길음시장,길음시장,,"[""길음시장""]",[],matched,exact,1.0000,
294505,경국사(서울),경국사(서울),,"[""경국사(서울)"", ""경국사""]",[],matched,exact,1.0000,
298341,내원사(서울),내원사(서울),,"[""내원사(서울)"", ""내원사""]",[],matched,exact,1.0000,
309299,미타사(성북),미타사(성북),,"[""미타사(성북)"", ""미타사""]",[],matched,exact,1.0000,
316104,보문사(서울),보문사(서울),,"[""보문사(서울)"", ""보문사""]",[],matched,exact,1.0000,
316295,봉국사(서울),봉국사(서울),,"[""봉국사(서울)"", ""봉국사""]",[],matched,exact,1.0000,
479649,적조사(서울),적조사(서울),,"[""적조사(서울)"", ""적조사""]",[],matched,exact,1.0000,
479778,정법사(서울),정법사(서울),,"[""정법사(서울)"", ""정법사""]",[],matched,exact,1.0000,
