content_id,place_title,concentration_title,concentration_search_key,concentration_search_keys,concentration_aliases,match_status,match_method,confidence_score,verified_at
1021339,서래마을,서래마을,,"[""서래마을""]",[],matched,exact,1.0000,
1131275,매헌시민의 숲,매헌 시민의 숲,시민의,"[""시민의"", ""매헌"", ""숲""]",[],matched,exact,1.0000,
125452,청계산,청계산,,"[""청계산""]",[],matched,exact,1.0000,
126530,서울 헌릉(태종·원경왕후)과 인릉(순조·순원황후) [유네스코 세계유산],"서울 헌릉(태종,원경왕후)과 인릉(순조,순원왕후) [유네스코 세계유산]",인릉,"[""인릉"", ""서울""]",[],matched,normalized,1.0000,
129747,예술의전당,예술의전당,,"[""예술의전당""]",[],matched,exact,1.0000,
130124,국립국악원,국립국악원,,"[""국립국악원""]",[],matched,exact,1.0000,
130156,외교사료관,외교사료관,,"[""외교사료관""]",[],matched,exact,1.0000,
130179,분재박물관,분재박물관,,"[""분재박물관""]",[],matched,exact,1.0000,
2357761,구룡산(서울),구룡산(서울),,"[""구룡산(서울)"", ""구룡산""]",[],matched,exact,1.0000,
250466,aT센터,aT센터(에이티센터),,"[""aT센터(에이티센터)"", ""aT센터""]",[],matched,normalized,1.0000,
2718257,서울웨이브아트센터,서울웨이브아트센터,,"[""서울웨이브아트센터""]",[],matched,exact,1.0000,
2745583,플로팅아일랜드,플로팅아일랜드,,"[""플로팅아일랜드""]",[],matched,exact,1.0000,
2753817,한생연 휴먼탐구과학관,한생연 휴먼탐구과학관,휴먼탐구과학관,"[""휴먼탐구과학관"", ""한생연""]",[],matched,exact,1.0000,
2757831,우면산자연생태공원,우면산자연생태공원,,"[""우면산자연생태공원""]",[],matched,exact,1.0000,
2759920,서울 남부종합시장,남부종합시장,,"[""남부종합시장""]",[],matched,normalized,1.0000,
2763871,방배배수지체육공원,방배배수지체육공원,,"[""방배배수지체육공원""]",[],matched,exact,1.0000,
2773271,양재근린공원,양재근린공원,,"[""양재근린공원""]",[],matched,exact,1.0000,
2773409,서리풀공원,서리풀공원,,"[""서리풀공원""]",[],matched,exact,1.0000,
2779508,우면산 소망탑,우면산 소망탑 전망대,전망대,"[""전망대"", ""소망탑"", ""우면산""]",[],matched,manual,1.0000,
300076,대성사(서울),대성사(서울),,"[""대성사(서울)"", ""대성사""]",[],matched,exact,1.0000,
753972,매헌 윤봉길의사 기념관,매헌 윤봉길의사 기념관,윤봉길의사,"[""윤봉길의사"", ""기념관"", ""매헌""]",[],matched,exact,1.0000,
753981,몽마르뜨공원,몽마르뜨공원,,"[""몽마르뜨공원""]",[],matched,exact,1.0000,
753983,반포 서래섬,반포 서래섬,서래섬,"[""서래섬"", ""반포""]",[],matched,exact,1.0000,
753986,효령대군 이보 묘역,효령대군이보묘역,,"[""효령대군이보묘역""]",[],matched,exact,1.0000,
776082,관문사(서울),관문사(서울),,"[""관문사(서울)"", ""관문사""]",[],matched,exact,1.0000,
970052,세빛섬,세빛섬,,"[""세빛섬""]",[],matched,exact,1.0000,
970138,반포한강공원,반포한강공원,,"[""반포한강공원""]",[],matched,exact,1.0000,
970342,잠원한강공원,잠원한강공원,,"[""잠원한강공원""]",[],matched,exact,1.0000,
