content_id,content_type_id,title,address,latitude,longitude,area_code,district_code,lcls_systm1,lcls_systm2,lcls_systm3,source_modified_at,first_image_url,thumbnail_url,list_fetched_at
1196897,28,[북한산 둘레길 8구간] 구름정원길,서울특별시 은평구 불광동 (북한산생태공원 상단~진관생태다리 앞),37.6116,126.9395,11,380,LS,LS01,LS011900,2026-03-09 13:43:06+09:00,https://tong.visitkorea.or.kr/cms/resource/34/3500034_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/34/3500034_image3_1.jpg,2026-08-29T22:50:09.550237+09:00
1197219,28,[북한산 둘레길 9구간] 마실길,서울특별시 은평구 진관동,37.6378,126.9383,11,380,LS,LS01,LS011900,2026-03-09 14:38:19+09:00,https://tong.visitkorea.or.kr/cms/resource/47/3500047_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/47/3500047_image3_1.jpg,2026-08-29T22:50:09.550237+09:00
1197225,28,[북한산 둘레길 10구간] 내시묘역길,서울특별시 은평구 진관동 (방패교육대 앞~효자동공설묘지),37.6472524711,126.9382140738,11,380,LS,LS01,LS011900,2025-07-23 14:44:38+09:00,http://tong.visitkorea.or.kr/cms/resource/22/3511822_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/3511822_image3_1.jpg,2026-08-29T22:50:09.550237+09:00
127219,12,수국사(서울),서울특별시 은평구 서오릉로23길 8-5 (구산동),37.6164223535,126.9062259249,11,380,HS,HS03,HS030100,2026-06-05 11:59:54+09:00,https://tong.visitkorea.or.kr/cms/resource/19/4064219_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/19/4064219_image3_1.jpg,2026-08-29T22:50:09.550237+09:00
127557,12,삼천사(서울),서울특별시 은평구 연서로54길 127 (진관동),37.6423033033,126.9524990219,11,380,HS,HS03,HS030100,2025-12-30 17:35:38+09:00,http://tong.visitkorea.or.kr/cms/resource/75/3589975_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/3589975_image3_1.jpg,2026-08-29T22:50:09.550237+09:00
127558,12,진관사(서울),서울특별시 은평구 진관길 73 (진관동),37.6383670663,126.9463091508,11,380,HS,HS03,HS030100,2026-06-19 09:32:09+09:00,https://tong.visitkorea.or.kr/cms/resource_photo/90/3525890_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource_photo/90/3525890_image3_1.JPG,2026-08-29T22:50:09.550237+09:00
129900,14,나화랑,서울특별시 은평구 연서로29길 34-14 (갈현동),37.62049075879304,126.91714256396001,11,380,VE,VE07,VE070600,2026-02-24 16:10:13+09:00,https://tong.visitkorea.or.kr/cms/resource/74/683374_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/74/683374_image3_1.jpg,2026-08-29T22:50:09.550237+09:00
130257,14,은평문화예술회관,서울특별시 은평구 녹번로 16 (녹번동),37.60372466377138,126.9278796539337,11,380,VE,VE06,VE060100,2026-04-20 09:28:41+09:00,https://tong.visitkorea.or.kr/cms/resource/51/3384451_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/51/3384451_image3_1.JPG,2026-08-29T22:50:09.550237+09:00
130374,14,은평문화원,서울특별시 은평구 수색로 282 (수색동),37.5836979503,126.8934477343,11,380,VE,VE09,VE090100,2025-07-30 17:17:51+09:00,http://tong.visitkorea.or.kr/cms/resource/96/3476996_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/96/3476996_image3_1.JPG,2026-08-29T22:50:09.550237+09:00
130416,14,사비나미술관,서울특별시 은평구 진관1로 93 (진관동),37.63012853448027,126.92927570844881,11,380,VE,VE07,VE070600,2026-04-10 13:10:05+09:00,https://tong.visitkorea.or.kr/cms/resource/13/3527813_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/13/3527813_image3_1.jpg,2026-08-29T22:50:09.550237+09:00
