content_id,place_title,concentration_title,concentration_search_key,concentration_search_keys,concentration_aliases,match_status,match_method,confidence_score,verified_at
1198901,배재학당역사박물관,배재학당역사박물관,,"[""배재학당역사박물관""]",[],matched,exact,1.0000,
126485,남산공원(서울),남산공원(서울),,"[""남산공원(서울)"", ""남산공원""]",[],matched,exact,1.0000,
126491,장충단공원,장충단공원,,"[""장충단공원""]",[],matched,exact,1.0000,
126509,덕수궁,덕수궁,,"[""덕수궁""]",[],matched,exact,1.0000,
126747,남산골한옥마을,남산골한옥마을,,"[""남산골한옥마을""]",[],matched,exact,1.0000,
126804,서울 명동성당,서울 명동성당,명동성당,"[""명동성당"", ""서울""]",[],matched,exact,1.0000,
128162,숭례문,숭례문,,"[""숭례문""]",[],matched,exact,1.0000,
128776,남산케이블카,남산 케이블카,케이블카,"[""케이블카"", ""남산""]",[],matched,exact,1.0000,
128968,서울광장,서울광장,,"[""서울광장""]",[],matched,exact,1.0000,
129502,광희문,광희문,,"[""광희문""]",[],matched,exact,1.0000,
129749,한국의집,한국의집,,"[""한국의집""]",[],matched,exact,1.0000,
130071,서울시립미술관 서소문본관,서울시립미술관(서소문본관),,"[""서울시립미술관(서소문본관)"", ""서울시립미술관""]",[],matched,normalized,1.0000,
130263,초전섬유·퀼트박물관,초전섬유ㆍ퀼트박물관,,"[""초전섬유ㆍ퀼트박물관""]",[],matched,exact,1.0000,
130353,국립정동극장,국립 정동극장,정동극장,"[""정동극장"", ""국립""]",[],matched,exact,1.0000,
130464,종이나라박물관,종이나라박물관,,"[""종이나라박물관""]",[],matched,exact,1.0000,
130937,서울특별시교육청융합과학교육원 남산분원,서울특별시교육청 과학전시관 (남산분관),서울특별시교육청,"[""서울특별시교육청"", ""과학전시관""]",[],matched,manual,1.0000,
132180,남대문시장,남대문시장,,"[""남대문시장""]",[],matched,exact,1.0000,
132182,서울 평화시장,서울 평화시장,평화시장,"[""평화시장"", ""서울""]",[],matched,exact,1.0000,
132186,서울 광희시장,서울 광희시장,광희시장,"[""광희시장"", ""서울""]",[],matched,exact,1.0000,
132217,서울 중부시장,서울 중부시장,중부시장,"[""중부시장"", ""서울""]",[],matched,exact,1.0000,
132238,을지로 철제가구거리,을지로 철제가구거리,철제가구거리,"[""철제가구거리"", ""을지로""]",[],matched,exact,1.0000,
1605966,훈련원공원,훈련원공원,,"[""훈련원공원""]",[],matched,exact,1.0000,
1605977,서소문역사공원,서소문역사공원,,"[""서소문역사공원""]",[],matched,exact,1.0000,
1799798,손기정기념관,손기정기념관,,"[""손기정기념관""]",[],matched,exact,1.0000,
1906334,동대문역사문화공원,동대문역사문화공원,,"[""동대문역사문화공원""]",[],matched,exact,1.0000,
250299,환구단,환구단,,"[""환구단""]",[],matched,exact,1.0000,
250325,서울 정동교회,서울 정동교회,정동교회,"[""정동교회"", ""서울""]",[],matched,exact,1.0000,
250330,서울 약현성당,서울 약현성당,약현성당,"[""약현성당"", ""서울""]",[],matched,exact,1.0000,
250362,서울 구 러시아공사관,서울 구 러시아공사관,러시아공사관,"[""러시아공사관"", ""서울"", ""구""]",[],matched,exact,1.0000,
250364,문화역 서울 284,문화역 서울 284,284,"[""284"", ""문화역"", ""서울""]",[],matched,exact,1.0000,
2522037,인현시장,인현시장,,"[""인현시장""]",[],matched,exact,1.0000,
2561208,디키디키,어린이 감각놀이터 디키디키,감각놀이터,"[""감각놀이터"", ""디키디키"", ""어린이""]",[],matched,manual,1.0000,
2638478,서울도시건축전시관,서울도시건축전시관,,"[""서울도시건축전시관""]",[],matched,exact,1.0000,
264311,명동,명동,,"[""명동""]",[],matched,exact,1.0000,
2655928,기억의 터(일본군 위안부),기억의 터(일본군 위안부),기억의,"[""기억의"", ""터""]",[],matched,exact,1.0000,
273746,황학동 벼룩시장,황학동 벼룩시장 (도깨비시장 / 만물시장),벼룩시장,"[""벼룩시장"", ""황학동""]",[],matched,normalized,1.0000,
2762802,한국은행 화폐박물관,화폐박물관,,"[""화폐박물관""]",[],matched,manual,1.0000,
2762842,피크닉,피크닉,,"[""피크닉""]",[],matched,exact,1.0000,
2762852,농업박물관,농업박물관,,"[""농업박물관""]",[],matched,exact,1.0000,
2762858,정동1928 아트센터,정동1928아트센터,,"[""정동1928아트센터""]",[],matched,exact,1.0000,
2762871,이화여고100주년기념관,이화여고100주년기념관,,"[""이화여고100주년기념관""]",[],matched,exact,1.0000,
2762874,묵정어린이공원,묵정어린이공원,,"[""묵정어린이공원""]",[],matched,exact,1.0000,
2764329,서울 신당동 박정희 가옥,박정희대통령가옥,,"[""박정희대통령가옥""]",[],matched,manual,1.0000,
2764516,국토발전전시관,국토발전전시관,,"[""국토발전전시관""]",[],matched,exact,1.0000,
2765510,청계광장,청계광장,,"[""청계광장""]",[],matched,exact,1.0000,
2834048,하이커 그라운드,하이커그라운드,,"[""하이커그라운드""]",[],matched,exact,1.0000,
660640,우표박물관,우표박물관 (구.우표문화누리),우표박물관,"[""우표박물관""]",[],matched,normalized,1.0000,
699249,신당동 떡볶이타운,신당동 떡볶이 골목,떡볶이,"[""떡볶이"", ""신당동"", ""골목""]",[],matched,manual,1.0000,
699279,장충동 족발 골목,장충동 족발 골목,장충동,"[""장충동"", ""골목"", ""족발""]",[],matched,exact,1.0000,
