content_id,place_title,concentration_title,concentration_search_key,concentration_search_keys,concentration_aliases,match_status,match_method,confidence_score,verified_at
126498,롯데월드 어드벤처,롯데월드 어드벤처,어드벤처,"[""어드벤처"", ""롯데월드""]",[],matched,exact,1.0000,
126520,서울 풍납동 토성,서울 풍납동 토성,풍납동,"[""풍납동"", ""토성"", ""서울""]",[],matched,exact,1.0000,
126532,올림픽공원,올림픽공원,,"[""올림픽공원""]",[],matched,exact,1.0000,
127466,서울 석촌동 고분군,서울 석촌동 고분군,고분군,"[""고분군"", ""석촌동"", ""서울""]",[],matched,exact,1.0000,
127525,몽촌토성,서울 몽촌토성,몽촌토성,"[""몽촌토성"", ""서울""]",[],matched,normalized,1.0000,
132215,가락농수산물종합도매시장,가락농수산물종합도매시장,,"[""가락농수산물종합도매시장""]",[],matched,exact,1.0000,
1603175,아시아공원,아시아공원,,"[""아시아공원""]",[],matched,exact,1.0000,
1845434,래미안 갤러리,래미안 갤러리,갤러리,"[""갤러리"", ""래미안""]",[],matched,exact,1.0000,
1916296,한성백제박물관,한성백제박물관,,"[""한성백제박물관""]",[],matched,exact,1.0000,
2003909,롯데월드타워&롯데월드몰,롯데월드타워&롯데월드몰,,"[""롯데월드타워&롯데월드몰""]",[],matched,exact,1.0000,
231897,서울 삼전도비,서울 삼전도비,삼전도비,"[""삼전도비"", ""서울""]",[],matched,exact,1.0000,
2476731,롯데월드 아쿠아리움,롯데월드 아쿠아리움,아쿠아리움,"[""아쿠아리움"", ""롯데월드""]",[],matched,exact,1.0000,
2606740,서울책보고,서울책보고,,"[""서울책보고""]",[],matched,exact,1.0000,
2704559,방이시장,방이시장,,"[""방이시장""]",[],matched,exact,1.0000,
2757653,마천공원,마천공원,,"[""마천공원""]",[],matched,exact,1.0000,
2758152,송파책박물관,송파책박물관,,"[""송파책박물관""]",[],matched,exact,1.0000,
2758809,한양공원,한양공원,,"[""한양공원""]",[],matched,exact,1.0000,
2758811,풍납도깨비시장,풍납도깨비시장,,"[""풍납도깨비시장""]",[],matched,exact,1.0000,
2759129,마천시장,마천시장,,"[""마천시장""]",[],matched,exact,1.0000,
2761745,송파구자원순환공원,송파구자원순환공원,,"[""송파구자원순환공원""]",[],matched,exact,1.0000,
2774464,잠실유수지공원,잠실유수지공원,,"[""잠실유수지공원""]",[],matched,exact,1.0000,
754003,신선경과 류인호 묘역,신선경과 류인호 묘역,신선경과,"[""신선경과"", ""류인호"", ""묘역""]",[],matched,exact,1.0000,
754063,오금공원,오금공원,,"[""오금공원""]",[],matched,exact,1.0000,
814203,방이동 생태경관 보전지역,방이동 생태경관 보전지역,보전지역,"[""보전지역"", ""생태경관"", ""방이동""]",[],matched,exact,1.0000,
970460,잠실한강공원,잠실한강공원,,"[""잠실한강공원""]",[],matched,exact,1.0000,
992130,키자니아 서울,키자니아 서울,키자니아,"[""키자니아"", ""서울""]",[],matched,exact,1.0000,
