content_id,place_title,concentration_title,concentration_search_key,concentration_search_keys,concentration_aliases,match_status,match_method,confidence_score,verified_at
1091608,보라매안전체험관,보라매안전체험관,,"[""보라매안전체험관""]",[],matched,exact,1.0000,
126521,국립서울현충원,국립서울현충원,,"[""국립서울현충원""]",[],matched,exact,1.0000,
126523,사육신공원,사육신공원,,"[""사육신공원""]",[],matched,exact,1.0000,
127940,보라매공원,보라매공원,,"[""보라매공원""]",[],matched,exact,1.0000,
132216,노량진수산물도매시장,노량진수산물도매시장,,"[""노량진수산물도매시장""]",[],matched,exact,1.0000,
2714856,용양봉저정공원,용양봉저정 공원,용양봉저정,"[""용양봉저정"", ""공원""]",[],matched,exact,1.0000,
2743745,남성사계시장,남성사계시장,,"[""남성사계시장""]",[],matched,exact,1.0000,
2759106,사당시장,사당시장,,"[""사당시장""]",[],matched,exact,1.0000,
2759678,성대시장,성대시장,,"[""성대시장""]",[],matched,exact,1.0000,
2763685,노들나루공원,노들나루공원,,"[""노들나루공원""]",[],matched,exact,1.0000,
299978,달마사(서울),달마사(서울),,"[""달마사(서울)"", ""달마사""]",[],matched,exact,1.0000,
736737,효사정,효사정,,"[""효사정""]",[],matched,exact,1.0000,
