content_id,content_type_id,title,address,latitude,longitude,area_code,district_code,lcls_systm1,lcls_systm2,lcls_systm3,source_modified_at,first_image_url,thumbnail_url,list_fetched_at
126824,12,허준근린공원,서울특별시 강서구 허준로5길 42 (가양동),37.5676518844,126.8537434753,11,500,VE,VE03,VE030100,2025-03-28 09:56:30+09:00,http://tong.visitkorea.or.kr/cms/resource/22/3400722_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/22/3400722_image3_1.JPG,2026-08-29T22:50:12.407082+09:00
127215,12,양천향교,서울특별시 강서구 양천로47나길 53 (가양동),37.57280747095657,126.8398965769201,11,500,HS,HS01,HS010900,2026-04-14 15:42:57+09:00,https://tong.visitkorea.or.kr/cms/resource/46/3570346_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/46/3570346_image3_1.jpg,2026-08-29T22:50:12.407082+09:00
127216,12,서울 양천고성지,서울특별시 강서구 가양동,37.5740425776,126.8408278075,11,500,HS,HS01,HS010200,2025-08-26 16:03:09+09:00,http://tong.visitkorea.or.kr/cms/resource/62/3526762_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/3526762_image3_1.jpg,2026-08-29T22:50:12.407082+09:00
130289,14,LG아트센터 서울,서울특별시 강서구 마곡중앙로 136 (마곡동),37.5653406087,126.8294429794,11,500,VE,VE06,VE060100,2025-03-28 11:21:44+09:00,http://tong.visitkorea.or.kr/cms/resource/23/3437423_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/23/3437423_image3_1.JPG,2026-08-29T22:50:12.407082+09:00
130552,14,허준박물관,서울특별시 강서구 허준로 87,37.5677833629204,126.851033851594,11,500,VE,VE07,VE070100,2026-03-25 09:34:32+09:00,https://tong.visitkorea.or.kr/cms/resource/57/3579657_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/57/3579657_image3_1.jpg,2026-08-29T22:50:12.407082+09:00
131140,28,강서청소년회관,서울특별시 강서구 공항대로42길 23-19,37.556480792,126.8442724314,11,500,VE,VE10,VE100200,2025-03-28 10:59:53+09:00,http://tong.visitkorea.or.kr/cms/resource/55/3437455_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/3437455_image3_1.jpg,2026-08-29T22:50:12.407082+09:00
131326,28,KBS스포츠월드,서울특별시 강서구 공항대로 376,37.5569085725,126.8472165959,11,500,VE,VE10,VE100200,2025-03-28 11:38:59+09:00,http://tong.visitkorea.or.kr/cms/resource/76/1805776_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/1805776_image3_1.jpg,2026-08-29T22:50:12.407082+09:00
136594,32,초콜렛호텔,서울특별시 강서구 강서로5가길 24,37.5292824262,126.8467492497,11,500,AC,AC04,AC040100,2026-08-20 14:40:19+09:00,https://tong.visitkorea.or.kr/cms/resource/73/4101873_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/73/4101873_image3_1.jpg,2026-08-29T22:50:12.407082+09:00
143066,32,메이필드호텔,서울특별시 강서구 방화대로21길 94,37.5478268971733,126.819470832243,11,500,AC,AC01,AC010100,2026-05-14 08:27:38+09:00,https://tong.visitkorea.or.kr/cms/resource/79/3021879_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/79/3021879_image3_1.jpg,2026-08-29T22:50:12.407082+09:00
143130,32,나이아가라 호텔,서울특별시 강서구 염창동 259-2 나이아가라관광호텔,37.5491852934432,126.878623490232,11,500,AC,AC01,AC010100,2026-02-27 15:06:14+09:00,https://tong.visitkorea.or.kr/cms/resource/54/1805454_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/54/1805454_image3_1.jpg,2026-08-29T22:50:12.407082+09:00
