content_id,place_title,concentration_title,concentration_search_key,concentration_search_keys,concentration_aliases,match_status,match_method,confidence_score,verified_at
126527,서울 영휘원(순헌황귀비)과 숭인원(이진),서울 영휘원(순헌황귀비)과 숭인원(이진),숭인원,"[""숭인원"", ""서울""]",[],matched,exact,1.0000,
129792,세종대왕박물관,세종대왕박물관,,"[""세종대왕박물관""]",[],matched,exact,1.0000,
132220,서울 약령시장,서울 약령시장,약령시장,"[""약령시장"", ""서울""]",[],matched,exact,1.0000,
1754832,서울풍물시장,서울풍물시장,,"[""서울풍물시장""]",[],matched,exact,1.0000,
2029564,오미요리연구소,오미요리연구소,,"[""오미요리연구소""]",[],matched,exact,1.0000,
231977,서울약령시한의약박물관,서울약령시 한의약박물관,한의약박물관,"[""한의약박물관"", ""서울약령시""]",[],matched,exact,1.0000,
2661483,배봉산,배봉산,,"[""배봉산""]",[],matched,exact,1.0000,
2721231,용두동 쭈꾸미골목,용두동 쭈꾸미골목,쭈꾸미골목,"[""쭈꾸미골목"", ""용두동""]",[],matched,exact,1.0000,
2759634,청량리수산시장,청량리수산시장,,"[""청량리수산시장""]",[],matched,exact,1.0000,
2759652,청량리청과물시장,청량리청과물시장,,"[""청량리청과물시장""]",[],matched,exact,1.0000,
2759661,청량종합도매시장,청량종합도매시장,,"[""청량종합도매시장""]",[],matched,exact,1.0000,
2759669,현대시장,현대시장,,"[""현대시장""]",[],matched,exact,1.0000,
2763675,장안근린공원,장안근린공원,,"[""장안근린공원""]",[],matched,exact,1.0000,
2763807,간데메공원,간데메공원,,"[""간데메공원""]",[],matched,exact,1.0000,
282011,답십리 고미술상가,답십리 고미술상가,고미술상가,"[""고미술상가"", ""답십리""]",[],matched,exact,1.0000,
337508,연화사(서울),연화사(서울),,"[""연화사(서울)"", ""연화사""]",[],matched,exact,1.0000,
482126,청량사(서울),청량사(서울),,"[""청량사(서울)"", ""청량사""]",[],matched,exact,1.0000,
948730,경동시장,경동시장,,"[""경동시장""]",[],matched,exact,1.0000,
