content_id,title,중분류,소분류,latitude,longitude
seongdong_169,소인수서울,한식,관광식당,37.549746,127.044579
seongdong_170,송정제방길,육상레저스포츠,기타육상레저스포츠,37.550400,127.065000
seongdong_171,수도박물관,전시시설,박물관,37.539881,127.042277
seongdong_172,스시도쿠 왕십리본점,외국식,일식,37.561000,127.036083
seongdong_173,스시오오모토,외국식,일식,37.547033,127.046860
seongdong_174,스왈로우라운지 성수,면세점,사후면세점,37.545523,127.056985
seongdong_175,스탈릿성수,기타문화관광지,기타문화시설,37.544494,127.055473
seongdong_176,스탠드오일 성수 플래그십 스토어,면세점,사후면세점,37.543622,127.057393
seongdong_177,스탠드오일 슈즈 플래그십 스토어,면세점,사후면세점,37.540777,127.060487
seongdong_178,스테이보리,호스텔,게스트하우스,37.539662,127.061484
seongdong_179,스테이지35 성수,기타쇼핑시설,기타쇼핑시설,37.543109,127.053481
seongdong_180,스테이지35 성수[면세점(TAX REFUND SHOP)],면세점,사후면세점,37.543109,127.053481
seongdong_181,슬로우파마씨,기타쇼핑시설,기타쇼핑시설,37.545667,127.063022
seongdong_182,시엔느 성수부티크,면세점,사후면세점,37.541811,127.057882
seongdong_183,신성림약국,면세점,사후면세점,37.559822,127.041301
seongdong_184,신의한국수본점,한식,관광식당,37.548052,127.065430
seongdong_185,쎄콩데live,외국식,서양식,37.546605,127.042324
seongdong_186,아더 성수 스페이스,기타쇼핑시설,기타쇼핑시설,37.542260,127.056546
seongdong_187,아도르,면세점,사후면세점,37.542420,127.048229
seongdong_188,아디다스 오리지널스 플래그십 성수,면세점,사후면세점,37.543049,127.053039
seongdong_189,아모레 성수,기타체험,기타체험관광,37.544603,127.059070
seongdong_191,아방베이커리 서울숲점,간이음식,제과,37.544536,127.043288
seongdong_192,아비에무아 서울숲 스토어,면세점,사후면세점,37.547042,127.040666
seongdong_193,아우로 플래그쉽 스토어,면세점,사후면세점,37.547322,127.043700
seongdong_194,아우프글렛 금호,카페/ 찻집,카페,37.548927,127.026248
seongdong_195,아이리스피부과의원 성수,면세점,사후면세점,37.546339,127.049083
seongdong_196,아이온안경원,면세점,사후면세점,37.560373,127.041475
seongdong_197,아카이브앱크아틀리에,면세점,사후면세점,37.547741,127.041781
seongdong_198,악어떡볶이,간이음식,김밥 분식,37.560649,127.041092
seongdong_199,알로 성수점,면세점,사후면세점,37.543975,127.050045
seongdong_200,앱톤 성수 쇼룸,면세점,사후면세점,37.548787,127.048985
seongdong_201,어니언 성수,카페/ 찻집,카페,37.544839,127.058134
seongdong_202,어라운드데이,카페/ 찻집,카페,37.546924,127.041283
seongdong_203,어린이꿈공원,도시공원,어린이공원,37.558534,127.036113
seongdong_204,어페어커피,카페/ 찻집,카페,37.536748,127.055062
seongdong_205,언더스탠드에비뉴,전문매장/상가,전문상가,37.543559,127.043580
seongdong_206,언포모,면세점,사후면세점,37.547221,127.041084
seongdong_207,엄마손약국,면세점,사후면세점,37.562394,127.033224
seongdong_208,업사이드커피,카페/ 찻집,카페,37.542053,127.057945
seongdong_209,에르제 성수,간이음식,제과,37.543922,127.058973
seongdong_210,에스팩토리,전시시설,전시관,37.542309,127.059481
seongdong_211,에이치커피로스터스,카페/ 찻집,카페,37.549235,127.050582
seongdong_212,에이투비 Cafe&Bar,카페/ 찻집,카페,37.543922,127.058973
seongdong_213,엔터식스 왕십리역점,전문매장/상가,전문상가,37.561442,127.038394
seongdong_215,엘더버거,간이음식,"피자, 햄버거, 샌드위치 및 유사음식",37.546383,127.042996
seongdong_216,엘몰리노,외국식,서양식,37.547485,127.041183
seongdong_217,엘씨디씨 서울(LCDC SEOUL),기타쇼핑시설,기타쇼핑시설,37.541548,127.061323
seongdong_218,영카이브 성수점,기타체험,기타체험관광,37.541581,127.060393
seongdong_219,오뜨로,외국식,서양식,37.544144,127.046474
seongdong_220,오레노카츠 성수본점,외국식,일식,37.544805,127.049654
seongdong_221,오렌즈 비트플렉스 왕십리역점,면세점,사후면세점,37.561442,127.038394
seongdong_222,오렌즈 한양대점,면세점,사후면세점,37.559965,127.041580
seongdong_223,오롤리데이 성수,면세점,사후면세점,37.544154,127.050089
seongdong_224,오버도즈도넛앤커피,카페/ 찻집,카페,37.546699,127.046651
seongdong_225,오소이,면세점,사후면세점,37.545605,127.050965
seongdong_226,오프트,간이음식,김밥 분식,37.546533,127.046690
seongdong_227,옥수해물찜칼국수,한식,관광식당,37.541788,127.018013
seongdong_228,온량,외국식,서양식,37.546994,127.043452
seongdong_229,올리브영 금호점,면세점,사후면세점,37.547611,127.022731
seongdong_230,올리브영 뚝섬역점,면세점,사후면세점,37.547694,127.045124
seongdong_231,올리브영 상왕십리역점,면세점,사후면세점,37.565110,127.028020
seongdong_232,올리브영 서울숲역점,면세점,사후면세점,37.541900,127.044976
seongdong_233,올리브영 성수역점,면세점,사후면세점,37.545308,127.054483
seongdong_234,올리브영 성수연방점,면세점,사후면세점,37.541408,127.056908
seongdong_235,올리브영 신금호역점,면세점,사후면세점,37.554229,127.019817
seongdong_236,올리브영 왕십리역사점,면세점,사후면세점,37.561442,127.038394
seongdong_237,올리브영 황학사거리점,면세점,사후면세점,37.566603,127.024082
seongdong_238,올리브영N 성수,면세점,사후면세점,37.544183,127.054483
seongdong_239,옹근달,카페/ 찻집,카페,37.542786,127.053015
seongdong_240,와인나라 성수점,면세점,사후면세점,37.543638,127.046396
seongdong_241,와플목공방,공예체험,기타공예체험,37.547140,127.045444
seongdong_242,왕십리맛골목,도시.지역문화관광,"골목길, 문화거리",37.559434,127.040871
seongdong_243,용답원약국,면세점,사후면세점,37.562647,127.051388
seongdong_244,우알롱 성수 플래그쉽 스토어,면세점,사후면세점,37.543067,127.055368
seongdong_245,우오보,외국식,서양식,37.549630,127.054601
seongdong_246,원기옥,한식,관광식당,37.546447,127.065905
seongdong_247,유어네이키드치즈,외국식,서양식,37.546736,127.045324
seongdong_248,유즈풀 아뜰리에,카페/ 찻집,카페,37.547055,127.040483
seongdong_249,유핑 성수,면세점,사후면세점,37.541994,127.055995
seongdong_250,응봉산 암벽등반공원,육상레저스포츠,암벽등반,37.548659,127.031017
seongdong_251,응봉산(서울),자연경관(산),"산, 고개, 오름, 봉우리",37.548200,127.029800
seongdong_252,응봉체육공원,도시공원,주제공원,37.551954,127.037416
seongdong_253,이니스프리 디아일,면세점,사후면세점,37.541257,127.055008
seongdong_254,이니스프리 이마트 왕십리점,면세점,사후면세점,37.561442,127.038394
seongdong_255,이랑칼국수,한식,관광식당,37.539861,127.054476
seongdong_256,이모네순대국,한식,관광식당,37.548628,127.021387
seongdong_257,이미스 플래그십 스토어 성수,면세점,사후면세점,37.543613,127.052683
seongdong_258,이솝 성수,면세점,사후면세점,37.542376,127.055804
seongdong_259,이올로,면세점,사후면세점,37.547629,127.043375
seongdong_260,이태리차차,외국식,서양식,37.543555,127.051060
seongdong_261,인더매스 마장,카페/ 찻집,카페,37.565636,127.039829
seongdong_262,인사일런스 성수스토어,면세점,사후면세점,37.541253,127.060940
seongdong_263,인생한우,한식,관광식당,37.570199,127.038215
seongdong_264,일심정,한식,관광식당,37.546344,127.057414
seongdong_265,전자방,외국식,중식,37.548360,127.053723
seongdong_266,제스티살룬 성수,간이음식,"피자, 햄버거, 샌드위치 및 유사음식",37.547621,127.042466
seongdong_267,제주국수,한식,관광식당,37.545112,127.057837
seongdong_268,죽변항,한식,관광식당,37.547583,127.048851
seongdong_269,중국관,외국식,중식,37.538571,127.055373
seongdong_270,중앙감속기,외국식,중식,37.545625,127.051107
seongdong_271,진작다이닝,외국식,일식,37.549452,127.045668
seongdong_272,차만다 본점,외국식,서양식,37.546677,127.041421
