content_id,content_type_id,title,address,latitude,longitude,area_code,district_code,lcls_systm1,lcls_systm2,lcls_systm3,source_modified_at,first_image_url,thumbnail_url,list_fetched_at
1093200,28,서울종합운동장(잠실종합운동장),서울특별시 송파구 올림픽로 25 (잠실동),37.5147993965971,127.073624759794,11,710,VE,VE10,VE100200,2026-02-24 13:16:35+09:00,https://tong.visitkorea.or.kr/cms/resource/68/629668_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/68/629668_image3_1.jpg,2026-09-05T02:12:18.458439+09:00
126498,12,롯데월드 어드벤처,서울특별시 송파구 올림픽로 240,37.5112974856,127.0978836077,11,710,VE,VE02,VE020100,2026-06-10 15:02:14+09:00,https://tong.visitkorea.or.kr/cms/resource/00/3304300_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/00/3304300_image3_1.jpg,2026-09-05T02:12:18.458439+09:00
126515,12,서울 방이동 고분군,서울특별시 송파구 오금로 219 (방이동),37.50735283165549,127.11815001582504,11,710,HS,HS01,HS010800,2026-04-20 16:37:07+09:00,https://tong.visitkorea.or.kr/cms/resource/06/3454106_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/06/3454106_image3_1.jpg,2026-09-05T02:12:18.458439+09:00
126520,12,서울 풍납동 토성,서울특별시 송파구 풍납동 73-1,37.5394516183,127.1207171711,11,710,HS,HS01,HS010200,2025-09-03 19:33:39+09:00,,,2026-09-05T02:12:18.458439+09:00
126532,12,올림픽공원,서울특별시 송파구 올림픽로 424 (방이동),37.520555375396896,127.11505157122546,11,710,VE,VE03,VE030100,2026-03-12 16:18:23+09:00,https://tong.visitkorea.or.kr/cms/resource/59/3527359_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/59/3527359_image3_1.jpg,2026-09-05T02:12:18.458439+09:00
127466,12,서울 석촌동 고분군,서울특별시 송파구 가락로7길 21 (석촌동),37.5022111756,127.1028642979,11,710,HS,HS01,HS010800,2025-09-03 18:31:22+09:00,,,2026-09-05T02:12:18.458439+09:00
127525,12,몽촌토성,서울특별시 송파구 올림픽로 424,37.5209871362,127.1229758237,11,710,HS,HS01,HS010200,2025-09-03 19:42:53+09:00,,,2026-09-05T02:12:18.458439+09:00
129750,14,서울놀이마당,서울특별시 송파구 잠실로 124 (잠실동),37.50965926935848,127.09808614893697,11,710,VE,VE06,VE060100,2026-04-20 10:30:08+09:00,https://tong.visitkorea.or.kr/cms/resource/97/3584997_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/97/3584997_image3_1.jpg,2026-09-05T02:12:18.458439+09:00
130070,14,롯데월드 민속박물관,서울특별시 송파구 올림픽로 240 (잠실동) 3층,37.51232891779544,127.09761658111144,11,710,VE,VE07,VE070100,2026-03-11 10:03:40+09:00,https://tong.visitkorea.or.kr/cms/resource/49/3501149_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/49/3501149_image3_1.jpg,2026-09-05T02:12:18.458439+09:00
130214,14,송파문화원,서울특별시 송파구 올림픽로 44 (잠실동),37.5096389578841,127.076035783478,11,710,VE,VE09,VE090100,2026-03-12 09:08:40+09:00,https://tong.visitkorea.or.kr/cms/resource/85/3503085_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/85/3503085_image3_1.jpg,2026-09-05T02:12:18.458439+09:00
130274,14,서울백제어린이박물관,서울특별시 송파구 방이동 88,37.5238,127.1244,11,710,VE,VE07,VE070300,2026-03-12 09:08:40+09:00,https://tong.visitkorea.or.kr/cms/resource/43/3502843_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/43/3502843_image3_1.jpg,2026-09-05T02:12:18.458439+09:00
130765,14,서울특별시교육청 송파도서관,서울특별시 송파구 동남로 263 송파도서관,37.499993978404,127.134849775395,11,710,VE,VE09,VE090300,2026-03-18 10:10:05+09:00,https://tong.visitkorea.or.kr/cms/resource/45/3509945_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/45/3509945_image3_1.jpg,2026-09-05T02:12:18.458439+09:00
130823,14,소마미술관,서울특별시 송파구 올림픽로 424 (방이동),37.520555375396896,127.11505157122546,11,710,VE,VE07,VE070600,2026-03-11 10:03:40+09:00,https://tong.visitkorea.or.kr/cms/resource/99/3500499_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/99/3500499_image3_1.jpg,2026-09-05T02:12:18.458439+09:00
130886,14,샤롯데씨어터,서울특별시 송파구 올림픽로 240 (잠실동),37.5123289178,127.0976165811,11,710,VE,VE06,VE060100,2026-07-27 10:02:41+09:00,https://tong.visitkorea.or.kr/cms/resource/19/3109819_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/19/3109819_image3_1.JPG,2026-09-05T02:12:18.458439+09:00
131297,28,롯데월드 아이스링크,서울특별시 송파구 올림픽로 240 (잠실동),37.5123821225,127.0976311526,11,710,LS,LS01,LS010900,2025-12-16 17:03:07+09:00,http://tong.visitkorea.or.kr/cms/resource/94/3584594_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/3584594_image3_1.jpg,2026-09-05T02:12:18.458439+09:00
131318,28,잠실한강공원 잠실물놀이장,서울특별시 송파구 한가람로 65 (잠실동),37.5176813118,127.0867514361,11,710,LS,LS02,LS020700,2025-12-03 17:20:27+09:00,,,2026-09-05T02:12:18.458439+09:00
132215,38,가락농수산물종합도매시장,서울특별시 송파구 양재대로 932 (가락동),37.4960786971,127.1107693087,11,710,SH,SH06,SH060200,2025-11-28 13:46:13+09:00,http://tong.visitkorea.or.kr/cms/resource/37/3568037_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/3568037_image3_1.jpg,2026-09-05T02:12:18.458439+09:00
132248,38,롯데월드 쇼핑몰,서울특별시 송파구 올림픽로 300 (신천동),37.5141653654,127.1040749597,11,710,SH,SH02,SH020100,2025-12-23 10:42:31+09:00,http://tong.visitkorea.or.kr/cms/resource/29/1920629_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/1920629_image3_1.jpg,2026-09-05T02:12:18.458439+09:00
134793,39,드럼통 참숯석쇠구이,서울특별시 송파구 삼학사로19길 3 (삼전동),37.5057550957,127.0965869906,11,710,FD,FD01,FD010100,2025-11-19 14:05:17+09:00,http://tong.visitkorea.or.kr/cms/resource/39/3569439_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/3569439_image3_1.jpg,2026-09-05T02:12:18.458439+09:00
134796,39,벽제갈비 방이점,서울특별시 송파구 양재대로71길 1-4 (방이동),37.510063463,127.1262258393,11,710,FD,FD01,FD010100,2025-12-31 11:21:13+09:00,,,2026-09-05T02:12:18.458439+09:00
134798,39,해주냉면,서울특별시 송파구 백제고분로7길 8-16,37.5096584680615,127.079790972632,11,710,FD,FD01,FD010100,2026-04-10 10:51:39+09:00,,,2026-09-05T02:12:18.458439+09:00
136039,32,서울올림픽파크텔,서울특별시 송파구 올림픽로 448 (방이동),37.522334086,127.1165319275,11,710,AC,AC06,AC060100,2025-12-15 09:41:57+09:00,http://tong.visitkorea.or.kr/cms/resource/68/3562568_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/68/3562568_image3_1.jpeg,2026-09-05T02:12:18.458439+09:00
142766,32,롯데호텔 월드,서울특별시 송파구 올림픽로 240 (잠실동),37.5123821225,127.0976311526,11,710,AC,AC01,AC010100,2025-11-13 18:30:11+09:00,http://tong.visitkorea.or.kr/cms/resource/28/3566628_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/28/3566628_image3_1.jpeg,2026-09-05T02:12:18.458439+09:00
1592898,15,송파구 호수벚꽃축제,서울특별시 송파구 송파나루길 206 (신천동) 석촌호수,37.511898414927,127.10424458301475,11,710,EV,EV01,EV010500,2026-03-26 09:20:41+09:00,https://tong.visitkorea.or.kr/cms/resource/20/4051420_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/20/4051420_image3_1.jpg,2026-09-05T02:12:18.458439+09:00
1603175,12,아시아공원,서울특별시 송파구 올림픽로 44,37.5100820131,127.0767025661,11,710,VE,VE03,VE030100,2025-04-04 13:54:49+09:00,http://tong.visitkorea.or.kr/cms/resource/37/3401537_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/37/3401537_image3_1.JPG,2026-09-05T02:12:18.458439+09:00
1751182,14,우리금융아트홀,서울특별시 송파구 올림픽로 424 (방이동),37.516685,127.125027,11,710,VE,VE06,VE060100,2026-03-18 10:10:05+09:00,https://tong.visitkorea.or.kr/cms/resource/99/2031399_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/99/2031399_image3_1.jpg,2026-09-05T02:12:18.458439+09:00
1840479,39,산삼청각,서울특별시 송파구 송이로 151 (가락동),37.493504126618575,127.12491679882514,11,710,FD,FD01,FD010100,2026-04-09 15:39:08+09:00,,,2026-09-05T02:12:18.458439+09:00
1845434,14,래미안 갤러리,서울특별시 송파구 충민로 17 (문정동),37.4793058119,127.1201550417,11,710,VE,VE07,VE070600,2025-03-05 11:25:18+09:00,http://tong.visitkorea.or.kr/cms/resource/37/3384437_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/37/3384437_image3_1.JPG,2026-09-05T02:12:18.458439+09:00
1916296,14,한성백제박물관,서울특별시 송파구 위례성대로 71 (방이동),37.5154988428,127.1206650789,11,710,VE,VE07,VE070100,2025-07-07 13:57:03+09:00,http://tong.visitkorea.or.kr/cms/resource/55/3502855_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/3502855_image3_1.jpg,2026-09-05T02:12:18.458439+09:00
1964937,28,[서울둘레길 8코스] 장지·탄천코스,서울특별시 송파구 방이동 (오금1교(올림픽공원역)~수서역),37.513,127.1351,11,710,LS,LS01,LS011900,2026-03-12 14:23:13+09:00,https://tong.visitkorea.or.kr/cms/resource/36/3525636_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/36/3525636_image3_1.jpg,2026-09-05T02:12:18.458439+09:00
1990007,39,요리하는남자,서울특별시 송파구 백제고분로7길 27 (잠실동),37.5108831181,127.081867495,11,710,FD,FD02,FD020300,2026-08-28 10:10:19+09:00,https://tong.visitkorea.or.kr/cms/resource/76/3474776_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/76/3474776_image3_1.jpg,2026-09-05T02:12:18.458439+09:00
