content_id,content_type_id,title,address,latitude,longitude,area_code,district_code,lcls_systm1,lcls_systm2,lcls_systm3,source_modified_at,first_image_url,thumbnail_url,list_fetched_at
1037020,28,[북악하늘길 2산책로] 하늘교~성북천발원지,서울특별시 성북구 대사관로 1 (성북동),37.5965036428,126.9841946526,11,290,LS,LS01,LS011900,2025-03-18 20:38:05+09:00,http://tong.visitkorea.or.kr/cms/resource/15/1868115_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/1868115_image3_1.jpg,2026-09-05T02:12:02.548786+09:00
1037031,28,[북악하늘길 스카이웨이] 하늘한마당~하늘마루,서울특별시 성북구 성북동,37.569354427,127.0068155826,11,290,LS,LS01,LS011900,2025-04-03 15:37:05+09:00,http://tong.visitkorea.or.kr/cms/resource/09/1568109_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/1568109_image3_1.jpg,2026-09-05T02:12:02.548786+09:00
1196871,28,[북한산 둘레길 4구간] 솔샘길,서울특별시 성북구 솔샘로25길 121-50 (북한산생태숲 앞~정릉주차장),37.6210484201,127.0069335488,11,290,LS,LS01,LS011900,2025-06-23 13:33:27+09:00,http://tong.visitkorea.or.kr/cms/resource/07/3500007_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/3500007_image3_1.jpg,2026-09-05T02:12:02.548786+09:00
1196886,28,[북한산 둘레길 5구간] 명상길,서울특별시 성북구 정릉동 (정릉주차장~형제봉 입구),37.6186,126.9965,11,290,LS,LS01,LS011900,2026-03-09 14:39:46+09:00,https://tong.visitkorea.or.kr/cms/resource/18/3500018_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/18/3500018_image3_1.jpg,2026-09-05T02:12:02.548786+09:00
126501,12,개운사(서울),서울특별시 성북구 개운사길 73 (안암동5가),37.590162313494716,127.02827335807942,11,290,HS,HS03,HS030100,2026-03-13 10:30:59+09:00,https://tong.visitkorea.or.kr/cms/resource/97/3524097_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/97/3524097_image3_1.jpg,2026-09-05T02:12:02.548786+09:00
126506,12,흥천사,서울특별시 성북구 흥천사길 29 (돈암동),37.59839002551889,127.00936857902788,11,290,HS,HS03,HS030100,2026-01-22 16:30:00+09:00,https://tong.visitkorea.or.kr/cms/resource/09/4002309_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/09/4002309_image3_1.jpg,2026-09-05T02:12:02.548786+09:00
127220,12,북한산국립공원(서울),서울특별시 성북구 보국문로 262 (정릉동),37.62117635092582,126.99395569761465,11,290,NA,NA04,NA040100,2026-03-05 10:34:07+09:00,https://tong.visitkorea.or.kr/cms/resource/53/3493353_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/53/3493353_image3_1.jpg,2026-09-05T02:12:02.548786+09:00
127616,12,서울 정릉(신덕황후) [유네스코 세계유산],서울특별시 성북구 아리랑로19길 116 (정릉동),37.60122309230123,127.00759445141614,11,290,HS,HS01,HS010800,2026-02-12 09:50:46+09:00,,,2026-09-05T02:12:02.548786+09:00
128866,12,길상사(서울),서울특별시 성북구 선잠로5길 68 (성북동),37.5985980194,126.9939575925,11,290,HS,HS03,HS030100,2025-10-30 13:34:47+09:00,http://tong.visitkorea.or.kr/cms/resource/72/3376572_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/3376572_image3_1.jpg,2026-09-05T02:12:02.548786+09:00
1288970,39,성북동돼지갈비,서울특별시 성북구 성북로 115 (성북동),37.59328728407597,126.99607108301578,11,290,FD,FD01,FD010100,2026-04-09 15:45:41+09:00,,,2026-09-05T02:12:02.548786+09:00
