content_id,place_title,concentration_title,concentration_search_key,concentration_search_keys,concentration_aliases,match_status,match_method,confidence_score,verified_at
1253230,마장 축산물시장,마장 축산물시장,축산물시장,"[""축산물시장"", ""마장""]",[],matched,exact,1.0000,
128611,서울숲,서울숲,,"[""서울숲""]",[],matched,exact,1.0000,
130658,청계천박물관,청계천박물관,,"[""청계천박물관""]",[],matched,exact,1.0000,
1874105,응봉산(서울),응봉산(서울),,"[""응봉산(서울)"", ""응봉산""]",[],matched,exact,1.0000,
2553911,성동 AI·미래기술체험센터,성동4차산업혁명체험센터,,"[""성동4차산업혁명체험센터""]",[],matched,manual,1.0000,
2650231,성수동 수제화거리,성수동 수제화거리,수제화거리,"[""수제화거리"", ""성수동""]",[],matched,exact,1.0000,
2743748,금남시장,금남시장,,"[""금남시장""]",[],matched,exact,1.0000,
2745602,에스팩토리,에스팩토리,,"[""에스팩토리""]",[],matched,exact,1.0000,
2745620,뚝도청춘시장,뚝도시장,,"[""뚝도시장""]",[],matched,manual,1.0000,
2753089,더서울라이티움,더서울라이티움,,"[""더서울라이티움""]",[],matched,exact,1.0000,
2757822,응봉체육공원,응봉체육공원,,"[""응봉체육공원""]",[],matched,exact,1.0000,
309302,미타사(성동),미타사(성동),,"[""미타사(성동)"", ""미타사""]",[],matched,exact,1.0000,
753994,살곶이체육공원,살곶이체육공원,,"[""살곶이체육공원""]",[],matched,exact,1.0000,
