content_id,place_title,concentration_title,concentration_search_key,concentration_search_keys,concentration_aliases,match_status,match_method,confidence_score,verified_at
126502,도선사(서울),도선사(서울),,"[""도선사(서울)"", ""도선사""]",[],matched,exact,1.0000,
126507,화계사(서울),화계사(서울),,"[""화계사(서울)"", ""화계사""]",[],matched,exact,1.0000,
126524,국립4·19민주묘지,국립4.19민주묘지,,"[""국립4.19민주묘지""]",[],matched,exact,1.0000,
130929,박을복자수박물관,박을복자수박물관,,"[""박을복자수박물관""]",[],matched,exact,1.0000,
2535347,근현대사기념관,근현대사기념관,,"[""근현대사기념관""]",[],matched,exact,1.0000,
2741590,우이시장,우이시장,,"[""우이시장""]",[],matched,exact,1.0000,
2741591,숭인시장,숭인시장,,"[""숭인시장""]",[],matched,exact,1.0000,
2741592,수유시장,수유시장,,"[""수유시장""]",[],matched,exact,1.0000,
2741594,수유중앙시장,수유중앙시장,,"[""수유중앙시장""]",[],matched,exact,1.0000,
2777943,윤극영가옥,윤극영가옥,,"[""윤극영가옥""]",[],matched,exact,1.0000,
309307,백련사(강북),백련사(서울),,"[""백련사(서울)"", ""백련사""]",[],matched,normalized,1.0000,
316294,본원정사(서울),본원정사(서울),,"[""본원정사(서울)"", ""본원정사""]",[],matched,exact,1.0000,
822384,북서울꿈의숲,북서울 꿈의숲,꿈의숲,"[""꿈의숲"", ""북서울""]",[],matched,exact,1.0000,
866393,오동근린공원,오동근린공원,,"[""오동근린공원""]",[],matched,exact,1.0000,
