content_id,place_title,concentration_title,concentration_search_key,concentration_search_keys,concentration_aliases,match_status,match_method,confidence_score,verified_at
1059479,여의도한강공원,여의도한강공원,,"[""여의도한강공원""]",[],matched,exact,1.0000,
1059877,양화한강공원,양화한강공원,,"[""양화한강공원""]",[],matched,exact,1.0000,
126701,이랜드크루즈(한강유람선),이랜드크루즈 (한강유람선),이랜드크루즈,"[""이랜드크루즈""]",[],matched,exact,1.0000,
126827,국회의사당,국회의사당,,"[""국회의사당""]",[],matched,exact,1.0000,
127955,여의도공원,여의도공원,,"[""여의도공원""]",[],matched,exact,1.0000,
1603237,영등포공원,영등포근린공원,,"[""영등포근린공원""]",[],matched,manual,1.0000,
2037026,대림중앙시장,대림중앙시장,,"[""대림중앙시장""]",[],matched,exact,1.0000,
2402981,대림동 차이나타운,대림동 차이나타운,차이나타운,"[""차이나타운"", ""대림동""]",[],matched,exact,1.0000,
2650230,문래예술공장,문래예술공장,,"[""문래예술공장""]",[],matched,exact,1.0000,
2661405,선유도공원,선유도공원,,"[""선유도공원""]",[],matched,exact,1.0000,
2733852,여의도 물빛광장,물빛광장,,"[""물빛광장""]",[],matched,manual,1.0000,
2751339,KBS온,KBS온,,"[""KBS온""]",[],matched,exact,1.0000,
2751348,문래근린공원,문래근린공원,,"[""문래근린공원""]",[],matched,exact,1.0000,
2753103,대림어린이공원,대림어린이공원,,"[""대림어린이공원""]",[],matched,exact,1.0000,
2753117,대신시장,대신시장,,"[""대신시장""]",[],matched,exact,1.0000,
2774305,여의도공원 문화의마당,여의도공원 문화의마당,문화의마당,"[""문화의마당"", ""여의도공원""]",[],matched,exact,1.0000,
2781318,문래창작촌,문래창작촌,,"[""문래창작촌""]",[],matched,exact,1.0000,
331506,자매공원,자매공원(앙카라공원),,"[""자매공원(앙카라공원)"", ""자매공원""]",[],matched,normalized,1.0000,
749355,영등포 신길동 홍어거리,영등포 신길동 홍어거리,홍어거리,"[""홍어거리"", ""신길동"", ""영등포""]",[],matched,exact,1.0000,
809596,여의도샛강생태공원,여의도샛강생태공원,,"[""여의도샛강생태공원""]",[],matched,exact,1.0000,
