content_id,title,중분류,소분류,latitude,longitude
yongsan_085,만리시장,시장,상설시장,37.551639,126.963228
yongsan_086,해방촌마을,도시.지역문화관광,마을관광지,37.542782,126.984013
yongsan_087,후암거실,기타문화관광지,기타문화시설,37.548492,126.976250
yongsan_088,아모레퍼시픽미술관,전시시설,미술관/화랑,37.528845,126.968690
yongsan_089,민주화운동기념관,전시시설,기념관,37.540979,126.972034
yongsan_090,공기(Gongi),한식,관광식당,37.536253,126.999364
yongsan_091,리틀넥한남,외국식,서양식,37.539601,127.003011
yongsan_092,챔프커피 이태원,카페/ 찻집,카페,37.532499,126.992804
yongsan_093,용산공원 부분개방부지,도시공원,주제공원,37.523010,126.989185
yongsan_094,별책부록,기타문화관광지,서점,37.544985,126.987013
yongsan_095,르몽블랑,카페/ 찻집,카페,37.544911,126.984844
yongsan_096,알부스갤러리,전시시설,미술관/화랑,37.538200,127.005905
yongsan_097,케냐키암부,카페/ 찻집,카페,37.539875,126.995579
yongsan_098,일미장어,한식,관광식당,37.552198,126.974441
yongsan_099,린다픽,호스텔,게스트하우스,37.535805,126.992221
yongsan_100,자코비버거,간이음식,"피자, 햄버거, 샌드위치 및 유사음식",37.541806,126.987421
yongsan_101,미미옥,외국식,기타외국식,37.526277,126.963005
yongsan_102,효뜨,외국식,기타외국식,37.530351,126.971307
yongsan_103,후암편백,외국식,기타외국식,37.551064,126.976905
yongsan_104,알페도,외국식,기타외국식,37.534333,126.993248
yongsan_105,도깨비코티지,외국식,서양식,37.553271,126.977055
yongsan_106,다과상사,카페/ 찻집,카페,37.539427,126.961701
yongsan_107,몽탄,한식,관광식당,37.535995,126.972242
yongsan_108,서울서커스페스티벌,행사,기타행사,37.517664,126.958036
yongsan_109,보니스피자펍,외국식,서양식,37.541189,126.986932
yongsan_110,제132주년 동학농민혁명 기념식,행사,기타행사,37.524702,126.977740
yongsan_111,고두리 용산점,한식,관광식당,37.530875,126.968601
yongsan_112,남영돈,한식,관광식당,37.542801,126.973792
yongsan_113,쥬에,외국식,중식,37.537553,127.012821
yongsan_114,태향,외국식,중식,37.553201,126.974639
yongsan_115,돈까스잔치 동빙고점,한식,관광식당,37.521307,126.996429
yongsan_116,이촌동면옥,한식,관광식당,37.520640,126.967590
yongsan_117,평양집,한식,관광식당,37.534913,126.973989
yongsan_118,쏭타이 본점,외국식,기타외국식,37.533778,126.992696
yongsan_119,나리의 집,한식,관광식당,37.536908,127.000040
yongsan_120,동빙고 본점,카페/ 찻집,카페,37.518016,126.982341
yongsan_121,오스테리아 오르조,외국식,서양식,37.534947,127.009508
yongsan_122,Summer Lane,카페/ 찻집,카페,37.536411,126.999278
yongsan_123,한입소반,간이음식,김밥 분식,37.544157,126.970336
yongsan_124,종점숯불갈비,한식,관광식당,37.526448,127.001976
yongsan_125,소설한남,한식,관광식당,37.535206,127.009130
yongsan_126,뇨끼바,외국식,서양식,37.535067,127.009519
yongsan_127,단박왕돈까스,외국식,서양식,37.537260,126.969623
yongsan_128,단비,한식,관광식당,37.535272,127.008814
yongsan_129,부첼리하우스,외국식,서양식,37.536900,127.012872
yongsan_130,카페미우,카페/ 찻집,카페,37.539180,126.958519
yongsan_131,한강회관,한식,관광식당,37.520397,126.974351
yongsan_132,한남동감자탕,한식,관광식당,37.533439,127.006183
yongsan_133,mtl 효창,카페/ 찻집,카페,37.542085,126.960918
