content_id,place_title,concentration_title,concentration_search_key,concentration_search_keys,concentration_aliases,match_status,match_method,confidence_score,verified_at
1059638,망원한강공원,망원한강공원,,"[""망원한강공원""]",[],matched,exact,1.0000,
126528,절두산 순교성지,절두산 순교성지,순교성지,"[""순교성지"", ""절두산""]",[],matched,exact,1.0000,
126938,양화진외국인선교사묘원(외인묘지),양화진외국인선교사묘원(외인묘지),,"[""양화진외국인선교사묘원(외인묘지)"", ""양화진외국인선교사묘원""]",[],matched,exact,1.0000,
127307,망원정 터,망원정지,,"[""망원정지""]",[],matched,manual,1.0000,
127859,난지한강공원,난지한강공원,,"[""난지한강공원""]",[],matched,exact,1.0000,
128021,월드컵공원,월드컵공원,,"[""월드컵공원""]",[],matched,exact,1.0000,
130961,이한열기념관,이한열기념관,,"[""이한열기념관""]",[],matched,exact,1.0000,
1845410,서울에너지드림센터,서울에너지드림센터,,"[""서울에너지드림센터""]",[],matched,exact,1.0000,
1907518,전쟁과여성인권박물관,전쟁과여성인권박물관,,"[""전쟁과여성인권박물관""]",[],matched,exact,1.0000,
2488359,풋볼 팬타지움,풋볼 팬타지움,팬타지움,"[""팬타지움"", ""풋볼""]",[],matched,exact,1.0000,
2499807,망원시장,망원시장,,"[""망원시장""]",[],matched,exact,1.0000,
2500201,연남동 공방거리,연남동 공방거리,공방거리,"[""공방거리"", ""연남동""]",[],matched,exact,1.0000,
2500207,상수동 카페거리,상수동 카페거리,카페거리,"[""카페거리"", ""상수동""]",[],matched,exact,1.0000,
2500218,광흥당,광흥당,,"[""광흥당""]",[],matched,exact,1.0000,
2500229,경의선책거리,경의선책거리,,"[""경의선책거리""]",[],matched,exact,1.0000,
2553819,경의선숲길,경의선 숲길,숲길,"[""숲길"", ""경의선""]",[],matched,exact,1.0000,
2553929,문화비축기지,문화비축기지,,"[""문화비축기지""]",[],matched,exact,1.0000,
2654607,하늘공원,하늘공원,,"[""하늘공원""]",[],matched,exact,1.0000,
2661506,서울함공원,서울함공원,,"[""서울함공원""]",[],matched,exact,1.0000,
2733971,노을공원(서울),노을공원,,"[""노을공원""]",[],matched,normalized,1.0000,
2745725,서울시립 난지미술창작스튜디오,난지미술창작스튜디오,,"[""난지미술창작스튜디오""]",[],matched,manual,1.0000,
2751316,한국영상자료원,한국영상자료원,,"[""한국영상자료원""]",[],matched,exact,1.0000,
2759900,평화잔디광장,평화잔디광장,,"[""평화잔디광장""]",[],matched,exact,1.0000,
2784060,난지천공원,난지천공원,,"[""난지천공원""]",[],matched,exact,1.0000,
2906207,KT&G 상상마당,KT&G 상상마당(홍대),상상마당,"[""상상마당"", ""KT&G""]",[],matched,normalized,1.0000,
397572,KT&G 상상마당 홍대,KT&G 상상마당(홍대),상상마당,"[""상상마당"", ""KT&G""]",[],matched,normalized,1.0000,
749280,아현동 전골목,아현동 전골목,전골목,"[""전골목"", ""아현동""]",[],matched,exact,1.0000,
781031,홍대,홍대,,"[""홍대""]",[],matched,exact,1.0000,
