content_id,place_title,concentration_title,concentration_search_key,concentration_search_keys,concentration_aliases,match_status,match_method,confidence_score,verified_at
1062450,SJ쿤스트할레,SJ쿤스트할레,,"[""SJ쿤스트할레""]",[],matched,exact,1.0000,
126486,도산공원,도산공원,,"[""도산공원""]",[],matched,exact,1.0000,
126504,봉은사(서울),봉은사(서울),,"[""봉은사(서울)"", ""봉은사""]",[],matched,exact,1.0000,
126525,서울 선릉과 정릉 [유네스코 세계유산],서울 선릉과정릉 [유네스코 세계유산],선릉과정릉,"[""선릉과정릉"", ""서울""]",[],matched,exact,1.0000,
126823,압구정 로데오거리,압구정 로데오거리,로데오거리,"[""로데오거리"", ""압구정""]",[],matched,exact,1.0000,
127269,청담근린공원,청담근린공원,,"[""청담근린공원""]",[],matched,exact,1.0000,
130438,한국문화의집,한국문화의집,,"[""한국문화의집""]",[],matched,exact,1.0000,
1310950,청담패션거리,청담패션거리,,"[""청담패션거리""]",[],matched,exact,1.0000,
1602451,대모산도시자연공원,대모산도시자연공원,,"[""대모산도시자연공원""]",[],matched,exact,1.0000,
1603149,능인선원,능인선원,,"[""능인선원""]",[],matched,exact,1.0000,
1993515,피규어뮤지엄W,피규어뮤지엄W,,"[""피규어뮤지엄W""]",[],matched,exact,1.0000,
231972,코리아나 화장박물관,코리아나 화장박물관,화장박물관,"[""화장박물관"", ""코리아나""]",[],matched,exact,1.0000,
250469,서울무역전시컨벤션센터(SETEC),서울무역전시컨벤션센터(SETEC),,"[""서울무역전시컨벤션센터(SETEC)"", ""서울무역전시컨벤션센터""]",[],matched,exact,1.0000,
2552251,경기여고 경운박물관(서울),경기여고 경운박물관(서울),경운박물관,"[""경운박물관"", ""경기여고""]",[],matched,exact,1.0000,
2553398,탄허기념불교박물관,탄허기념불교박물관,,"[""탄허기념불교박물관""]",[],matched,exact,1.0000,
2693507,플랫폼엘,플랫폼엘,,"[""플랫폼엘""]",[],matched,exact,1.0000,
2733970,대치유수지체육공원,대치유수지체육공원,,"[""대치유수지체육공원""]",[],matched,exact,1.0000,
2751869,유나이티드갤러리,유나이티드갤러리,,"[""유나이티드갤러리""]",[],matched,exact,1.0000,
2751890,은곡마을공원,은곡마을공원,,"[""은곡마을공원""]",[],matched,exact,1.0000,
2752525,마루공원,마루공원,,"[""마루공원""]",[],matched,exact,1.0000,
2752545,역삼개나리공원,역삼개나리공원,,"[""역삼개나리공원""]",[],matched,exact,1.0000,
2752552,신사공원,신사공원,,"[""신사공원""]",[],matched,exact,1.0000,
2754732,율현공원,율현공원,,"[""율현공원""]",[],matched,exact,1.0000,
2754735,학동근린공원,학동공원,,"[""학동공원""]",[],matched,manual,1.0000,
2754738,한솔근린공원,한솔공원,,"[""한솔공원""]",[],matched,manual,1.0000,
2757155,법룡사,법룡사,,"[""법룡사""]",[],matched,exact,1.0000,
2773265,K현대미술관,K현대미술관,,"[""K현대미술관""]",[],matched,exact,1.0000,
2773291,일원에코파크,일원에코파크,,"[""일원에코파크""]",[],matched,exact,1.0000,
2782156,송은,송은,,"[""송은""]",[],matched,exact,1.0000,
2782194,도곡시장,도곡시장,,"[""도곡시장""]",[],matched,exact,1.0000,
2791398,서울옥션 강남센터,서울옥션 강남센터,강남센터,"[""강남센터"", ""서울옥션""]",[],matched,exact,1.0000,
2930392,설화수 도산 플래그십 스토어,설화수 플래그십 스토어,플래그십,"[""플래그십"", ""스토어"", ""설화수""]",[],matched,manual,1.0000,
2994661,일상비일상의틈,일상비일상의틈,,"[""일상비일상의틈""]",[],matched,exact,1.0000,
596511,국기원(세계태권도본부),국기원(세계태권도본부),,"[""국기원(세계태권도본부)"", ""국기원""]",[],matched,exact,1.0000,
753954,전주이씨광평대군파묘역,전주이씨광평대군파묘역,,"[""전주이씨광평대군파묘역""]",[],matched,exact,1.0000,
1603100,불국사(서울),불국사,,"[""불국사""]",[],matched,normalized,1.0000,
