content_id,content_type_id,title,address,latitude,longitude,area_code,district_code,lcls_systm1,lcls_systm2,lcls_systm3,source_modified_at,first_image_url,thumbnail_url,list_fetched_at
1054888,28,여의도 둘레길(여의도 자전거도로),서울특별시 영등포구 여의동로 330,37.5263886632,126.933612357,11,560,LS,LS01,LS010200,2025-10-23 14:30:00+09:00,http://tong.visitkorea.or.kr/cms/resource/87/3551287_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/3551287_image3_1.jpg,2026-08-29T22:50:14.744448+09:00
1059479,12,여의도한강공원,서울특별시 영등포구 여의동로 330 (여의도동),37.5263997727,126.9336095794,11,560,VE,VE03,VE030100,2025-12-12 09:11:31+09:00,http://tong.visitkorea.or.kr/cms/resource/89/3544389_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/3544389_image3_1.jpg,2026-08-29T22:50:14.744448+09:00
1059877,12,양화한강공원,서울특별시 영등포구 노들로 221 (당산동),37.5382819489,126.902365881,11,560,VE,VE03,VE030100,2026-06-22 15:05:12+09:00,https://tong.visitkorea.or.kr/cms/resource_photo/46/3551346_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource_photo/46/3551346_image3_1.jpg,2026-08-29T22:50:14.744448+09:00
1102250,32,코트야드 바이 메리어트 서울타임스퀘어,서울특별시 영등포구 영중로 15 (영등포동4가),37.51778060722777,126.90536773973882,11,560,AC,AC01,AC010100,2026-01-23 13:35:49+09:00,https://tong.visitkorea.or.kr/cms/resource/37/3534037_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/37/3534037_image3_1.jpg,2026-08-29T22:50:14.744448+09:00
1190304,32,하이서울유스호스텔,서울특별시 영등포구 영신로 200 (영등포동7가),37.5253021252,126.9026707626,11,560,AC,AC06,AC060100,2025-11-06 13:35:53+09:00,http://tong.visitkorea.or.kr/cms/resource/17/3562617_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/3562617_image3_1.jpg,2026-08-29T22:50:14.744448+09:00
126701,12,이랜드크루즈(한강유람선),서울특별시 영등포구 여의동로 280 (여의도동),37.5250139197,126.9390341239,11,560,EX,EX07,EX070100,2025-11-14 18:03:04+09:00,http://tong.visitkorea.or.kr/cms/resource/80/3567180_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/3567180_image3_1.jpg,2026-08-29T22:50:14.744448+09:00
126827,12,국회의사당,서울특별시 영등포구 의사당대로 1 (여의도동),37.529424118,126.9166304856,11,560,VE,VE01,VE010100,2025-11-27 14:43:30+09:00,http://tong.visitkorea.or.kr/cms/resource/82/3573082_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/3573082_image3_1.jpg,2026-08-29T22:50:14.744448+09:00
127955,12,여의도공원,서울특별시 영등포구 여의공원로 68 (여의도동),37.5268578503,126.922293931,11,560,VE,VE03,VE030100,2025-11-17 09:21:24+09:00,http://tong.visitkorea.or.kr/cms/resource/19/3558719_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/3558719_image3_1.jpg,2026-08-29T22:50:14.744448+09:00
129798,14,한국잡지박물관,서울특별시 영등포구 여의대방로67길 11 (여의도동),37.51976557074535,126.93024200228307,11,560,VE,VE07,VE070300,2026-03-19 09:49:59+09:00,https://tong.visitkorea.or.kr/cms/resource/47/3498847_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/47/3498847_image3_1.jpg,2026-08-29T22:50:14.744448+09:00
130243,14,영산아트홀,서울특별시 영등포구 여의공원로 101 (여의도동),37.5292719570904,126.924892738645,11,560,VE,VE06,VE060100,2026-02-24 10:23:43+09:00,https://tong.visitkorea.or.kr/cms/resource/93/2378593_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/93/2378593_image3_1.jpg,2026-08-29T22:50:14.744448+09:00
