content_id,place_title,concentration_title,concentration_search_key,concentration_search_keys,concentration_aliases,match_status,match_method,confidence_score,verified_at
127219,수국사(서울),수국사(서울),,"[""수국사(서울)"", ""수국사""]",[],matched,exact,1.0000,
127557,삼천사(서울),삼천사(서울),,"[""삼천사(서울)"", ""삼천사""]",[],matched,exact,1.0000,
127558,진관사(서울),진관사(서울),,"[""진관사(서울)"", ""진관사""]",[],matched,exact,1.0000,
1579548,천간사,천간사,,"[""천간사""]",[],matched,exact,1.0000,
2724392,은평한옥마을,은평한옥마을,,"[""은평한옥마을""]",[],matched,exact,1.0000,
2745621,신응암시장,신응암시장,,"[""신응암시장""]",[],matched,exact,1.0000,
2745622,연서시장,연서시장,,"[""연서시장""]",[],matched,exact,1.0000,
2764323,은평역사한옥박물관,은평역사한옥박물관,,"[""은평역사한옥박물관""]",[],matched,exact,1.0000,
2773382,서울기록원,서울기록원,,"[""서울기록원""]",[],matched,exact,1.0000,
713110,응암동 감자국 거리,응암동 감자국 거리,감자국,"[""감자국"", ""응암동"", ""거리""]",[],matched,exact,1.0000,
