content_id,content_type_id,title,address,latitude,longitude,area_code,district_code,lcls_systm1,lcls_systm2,lcls_systm3,source_modified_at,first_image_url,thumbnail_url,list_fetched_at
1115042,12,봉화산(서울),서울특별시 중랑구 묵동,37.608354116,127.0870155001,11,260,NA,NA01,NA010100,2025-11-28 10:38:26+09:00,http://tong.visitkorea.or.kr/cms/resource/23/3573123_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/3573123_image3_1.jpg,2026-09-05T02:12:01.975539+09:00
1115203,12,망우산(서울),서울특별시 중랑구 망우동,37.5915770433,127.1123335265,11,260,NA,NA01,NA010100,2026-08-04 15:23:49+09:00,https://tong.visitkorea.or.kr/cms/resource/79/4095879_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/79/4095879_image3_1.jpg,2026-09-05T02:12:01.975539+09:00
1115299,12,봉화산근린공원,서울특별시 중랑구 봉화산로45길 (묵동),37.610609504,127.0922455148,11,260,VE,VE03,VE030400,2025-12-01 16:44:35+09:00,http://tong.visitkorea.or.kr/cms/resource/96/3568496_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/3568496_image3_1.jpg,2026-09-05T02:12:01.975539+09:00
1116975,14,중랑구립면목정보도서관,서울특별시 중랑구 면목로 397 (면목동),37.5872908116448,127.087388008664,11,260,VE,VE09,VE090300,2026-03-09 09:36:31+09:00,https://tong.visitkorea.or.kr/cms/resource/09/3509709_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/09/3509709_image3_1.jpg,2026-09-05T02:12:01.975539+09:00
1117141,12,사가정공원,서울특별시 중랑구 사가정로72길 47 (면목동),37.5793243143,127.0957821951,11,260,VE,VE03,VE030100,2025-07-29 08:43:20+09:00,http://tong.visitkorea.or.kr/cms/resource/80/3412280_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/80/3412280_image3_1.JPG,2026-09-05T02:12:01.975539+09:00
126825,12,용마폭포공원,서울특별시 중랑구 용마산로 250-12 (면목동),37.5736051123,127.0900535156,11,260,VE,VE03,VE030100,2026-08-11 10:15:33+09:00,https://tong.visitkorea.or.kr/cms/resource/93/4095993_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/93/4095993_image3_1.jpg,2026-09-05T02:12:01.975539+09:00
130174,14,중랑구립정보도서관,서울특별시 중랑구 신내로15길 197 (묵동),37.6150985226,127.0868761488,11,260,VE,VE09,VE090300,2026-08-11 10:31:32+09:00,https://tong.visitkorea.or.kr/cms/resource/23/3509723_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/23/3509723_image3_1.jpg,2026-09-05T02:12:01.975539+09:00
130175,14,중랑문화원,"서울특별시 중랑구 봉우재로 101 (상봉동, 세이지움 상봉)",37.5926283515,127.0842777186,11,260,VE,VE09,VE090100,2026-08-20 08:51:34+09:00,https://tong.visitkorea.or.kr/cms/resource/99/4101299_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/99/4101299_image3_1.jpg,2026-09-05T02:12:01.975539+09:00
1606052,12,극락사(서울),서울특별시 중랑구 망우로91길 100 (망우동),37.6047522315,127.113296542,11,260,HS,HS03,HS030100,2025-12-01 16:53:28+09:00,http://tong.visitkorea.or.kr/cms/resource/09/3568509_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/3568509_image3_1.jpg,2026-09-05T02:12:01.975539+09:00
1606096,12,성덕사,서울특별시 중랑구 봉화산로 109-8 (상봉동),37.6032297023,127.0864851389,11,260,HS,HS03,HS030100,2025-12-01 16:47:46+09:00,http://tong.visitkorea.or.kr/cms/resource/15/3568515_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/3568515_image3_1.jpg,2026-09-05T02:12:01.975539+09:00
