content_id,content_type_id,title,address,latitude,longitude,area_code,district_code,lcls_systm1,lcls_systm2,lcls_systm3,source_modified_at,first_image_url,thumbnail_url,list_fetched_at
1021339,12,서래마을,서울특별시 서초구 반포동,37.49785147,126.9983156029,11,650,VE,VE04,VE040200,2025-11-27 13:41:13+09:00,http://tong.visitkorea.or.kr/cms/resource/59/3571659_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/3571659_image3_1.jpg,2026-08-29T22:50:16.951430+09:00
1046650,32,프로비스타 호텔,서울특별시 서초구 서초대로 338,37.4947786169455,127.018597359426,11,650,AC,AC02,AC020100,2026-02-25 16:55:49+09:00,,,2026-08-29T22:50:16.951430+09:00
1131275,12,매헌시민의 숲,서울특별시 서초구 매헌로 99 (양재동),37.4691610476,127.0368379074,11,650,NA,NA01,NA010200,2025-11-28 11:28:25+09:00,http://tong.visitkorea.or.kr/cms/resource/02/3571602_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/3571602_image3_1.jpg,2026-08-29T22:50:16.951430+09:00
1221790,38,센트럴시티,서울특별시 서초구 신반포로 176 (반포동),37.5056062193,127.0035815712,11,650,SH,SH07,SH070100,2025-12-23 10:39:24+09:00,http://tong.visitkorea.or.kr/cms/resource/99/3463399_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/3463399_image3_1.jpg,2026-08-29T22:50:16.951430+09:00
1245865,12,심산기념문화센터,서울특별시 서초구 사평대로 55 (반포동),37.4985345878,126.9907301631,11,650,VE,VE12,VE120300,2025-09-18 09:53:41+09:00,http://tong.visitkorea.or.kr/cms/resource/88/3540488_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/3540488_image3_1.jpg,2026-08-29T22:50:16.951430+09:00
125452,12,청계산,서울특별시 서초구 원지동,37.4437532162,127.0553147223,11,650,NA,NA01,NA010100,2025-09-02 14:06:26+09:00,http://tong.visitkorea.or.kr/cms/resource/25/1796725_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/1796725_image3_1.jpg,2026-08-29T22:50:16.951430+09:00
126530,12,서울 헌릉(태종·원경왕후)과 인릉(순조·순원황후) [유네스코 세계유산],서울특별시 서초구 헌인릉길 34 (내곡동),37.464415194,127.082364456,11,650,HS,HS01,HS010800,2025-09-02 13:34:35+09:00,http://tong.visitkorea.or.kr/cms/resource/76/3530376_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/3530376_image3_1.jpg,2026-08-29T22:50:16.951430+09:00
129747,14,예술의전당,서울특별시 서초구 남부순환로 2406 (서초동),37.480484313,127.0134702692,11,650,VE,VE06,VE060100,2025-10-23 14:30:00+09:00,,,2026-08-29T22:50:16.951430+09:00
129763,14,한원미술관,서울특별시 서초구 남부순환로 2423 (서초동),37.48177914045834,127.0154405333206,11,650,VE,VE07,VE070600,2026-03-13 13:43:36+09:00,https://tong.visitkorea.or.kr/cms/resource/55/3527455_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/55/3527455_image3_1.JPG,2026-08-29T22:50:16.951430+09:00
130124,14,국립국악원,서울특별시 서초구 남부순환로 2364,37.4778373158,127.0088596528,11,650,VE,VE09,VE090400,2025-12-04 09:47:58+09:00,http://tong.visitkorea.or.kr/cms/resource/46/3540546_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/3540546_image3_1.jpg,2026-08-29T22:50:16.951430+09:00
