content_id,place_title,concentration_title,concentration_search_key,concentration_search_keys,concentration_aliases,match_status,match_method,confidence_score,verified_at
126503,봉원사(서울),봉원사(서울),,"[""봉원사(서울)"", ""봉원사""]",[],matched,exact,1.0000,
126531,무악산 동봉수대 터,무악산 동봉수대 터,동봉수대,"[""동봉수대"", ""무악산"", ""터""]",[],matched,exact,1.0000,
128622,서대문독립공원,서대문독립공원,,"[""서대문독립공원""]",[],matched,exact,1.0000,
130152,서대문형무소역사관,서대문형무소역사관,,"[""서대문형무소역사관""]",[],matched,exact,1.0000,
130448,서대문자연사박물관,서대문자연사박물관,,"[""서대문자연사박물관""]",[],matched,exact,1.0000,
2553390,우석뮤지엄,우석뮤지엄,,"[""우석뮤지엄""]",[],matched,exact,1.0000,
264375,연세로,연세로,,"[""연세로""]",[],matched,exact,1.0000,
2667611,이대거리,이대거리,,"[""이대거리""]",[],matched,exact,1.0000,
2751441,포방터시장,포방터시장,,"[""포방터시장""]",[],matched,exact,1.0000,
2759917,은가어린이공원,은가어린이공원,,"[""은가어린이공원""]",[],matched,exact,1.0000,
2783484,신기한놀이터 떼굴떼굴,신기한놀이터 떼굴떼굴,신기한놀이터,"[""신기한놀이터"", ""떼굴떼굴""]",[],matched,exact,1.0000,
2813170,국립대한민국임시정부기념관,국립대한민국임시정부기념관,,"[""국립대한민국임시정부기념관""]",[],matched,exact,1.0000,
337557,옥천암(서울),옥천암(서울),,"[""옥천암(서울)"", ""옥천암""]",[],matched,exact,1.0000,
128028,백련사(서대문),백련사(서울),,"[""백련사(서울)"", ""백련사""]",[],matched,normalized,1.0000,
2661502,서대문 안산(안산자락길),서대문안산,,"[""서대문안산""]",[],matched,normalized,1.0000,
