content_id,place_title,concentration_title,concentration_search_key,concentration_search_keys,concentration_aliases,match_status,match_method,confidence_score,verified_at
126481,도봉산,도봉산,,"[""도봉산""]",[],matched,exact,1.0000,
130182,국립공원 산악박물관,국립공원 산악박물관,산악박물관,"[""산악박물관"", ""국립공원""]",[],matched,exact,1.0000,
1955511,도봉서원(서울),도봉서원,,"[""도봉서원""]",[],matched,normalized,1.0000,
2033802,둘리뮤지엄,둘리뮤지엄,,"[""둘리뮤지엄""]",[],matched,exact,1.0000,
2648051,평화문화진지,평화문화진지,,"[""평화문화진지""]",[],matched,exact,1.0000,
2675091,원당샘공원,원당샘공원,,"[""원당샘공원""]",[],matched,exact,1.0000,
2751420,신창시장,신창시장,,"[""신창시장""]",[],matched,exact,1.0000,
2764354,다락원체육공원,다락원체육공원,,"[""다락원체육공원""]",[],matched,exact,1.0000,
346995,원통사(서울),원통사(서울),,"[""원통사(서울)"", ""원통사""]",[],matched,exact,1.0000,
482112,천축사(서울),천축사(서울),,"[""천축사(서울)"", ""천축사""]",[],matched,exact,1.0000,
749216,서울창포원,서울창포원,,"[""서울창포원""]",[],matched,exact,1.0000,
