content_id,content_type_id,title,address,latitude,longitude,area_code,district_code,lcls_systm1,lcls_systm2,lcls_systm3,operating_hours_raw,rest_date_raw,operating_schedule,operating_parse_status,operating_parser_version,source_modified_at,list_fetched_at,detail_fetched_at,last_seen_at,detail_fetch_status,detail_error_code,is_active,inactive_reason,inactive_at,last_sync_run_id,created_at,updated_at,parking_info_raw,parking_fee_raw,use_fee_raw,discount_info_raw,first_image_url,thumbnail_url,info_center_raw,baby_carriage_raw,pet_raw,credit_card_raw,restroom_raw
1060809,39,아리랑,"서울특별시 종로구 대학로 60",37.5764822568878,127.002529928525,11,110,FD,FD01,FD010100,"11:00~21:30 (브레이크타임 15:00~16:30)",연중무휴,"{""rules"": [{""months"": null, ""weekdays"": null, ""source_text"": ""11:00~21:30 (브레이크타임 15:00~16:30)"", ""time_ranges"": [{""end"": ""21:30"", ""start"": ""11:00"", ""crosses_midnight"": false}, {""end"": ""16:30"", ""start"": ""15:00"", ""crosses_midnight"": false}], ""last_admission"": null}], ""warnings"": [], ""availability"": ""scheduled"", ""closure_rules"": [], ""assumption_reason"": null}",parsed,operating-hours-1.2.0,"2026-02-24 06:21:23+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",success,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:41.150397+00","2026-08-09 02:40:01.534897+00",가능,,,,,,,,,,
1063403,39,인사동찻집,"서울특별시 종로구 인사동길 33-1 (관훈동)",37.5736202148,126.9854729627,11,110,FD,FD05,FD050200,10:00~21:00,연중무휴,"{""rules"": [{""months"": null, ""weekdays"": null, ""source_text"": ""10:00~21:00"", ""time_ranges"": [{""end"": ""21:00"", ""start"": ""10:00"", ""crosses_midnight"": false}], ""last_admission"": null}], ""warnings"": [], ""availability"": ""scheduled"", ""closure_rules"": [], ""assumption_reason"": null}",parsed,operating-hours-1.2.0,"2025-03-11 01:29:21+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",success,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:41.225101+00","2026-08-09 02:40:01.534897+00",불가능,,,,,,,,,,
1063408,39,옛찻집,"서울특별시 종로구 인사동길 33-1",37.5735257805,126.9854257474,11,110,FD,FD05,FD050200,11:00~21:00,연중무휴,"{""rules"": [{""months"": null, ""weekdays"": null, ""source_text"": ""11:00~21:00"", ""time_ranges"": [{""end"": ""21:00"", ""start"": ""11:00"", ""crosses_midnight"": false}], ""last_admission"": null}], ""warnings"": [], ""availability"": ""scheduled"", ""closure_rules"": [], ""assumption_reason"": null}",parsed,operating-hours-1.2.0,"2025-03-19 08:03:36+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",success,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:41.225101+00","2026-08-09 02:40:01.534897+00",,,,,http://tong.visitkorea.or.kr/cms/resource/85/3474885_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/3474885_image3_1.jpg,,,,,
1100498,12,"북촌 8경","서울특별시 종로구 계동길 37 (계동)",37.579088327,126.9862761098,11,110,HS,HS01,HS010600,"10:00~17:00※ 방문 제한시간(특별관리지역(레드존) 방문 금지) : 17:00~익일 10:00",연중무휴,"{""rules"": [{""months"": null, ""weekdays"": null, ""source_text"": ""10:00~17:00※ 방문 제한시간(특별관리지역(레드존) 방문 금지) : 17:00~익일 10:00"", ""time_ranges"": [{""end"": ""17:00"", ""start"": ""10:00"", ""crosses_midnight"": false}, {""end"": ""10:00"", ""start"": ""17:00"", ""crosses_midnight"": true}], ""last_admission"": null}], ""warnings"": [], ""availability"": ""scheduled"", ""closure_rules"": [], ""assumption_reason"": null}",parsed,operating-hours-1.2.0,"2026-06-19 00:32:09+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",success,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:40.882874+00","2026-08-09 02:40:01.534897+00",불가능,,,,https://tong.visitkorea.or.kr/cms/resource/02/3304402_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/02/3304402_image3_1.jpg,,,,,
1101088,28,"서울 한양도성 순성길","서울특별시 종로구 누상동 산1-29번지",37.5818,126.9583,11,110,LS,LS01,LS011900,"상시 개방",연중무휴,"{""rules"": [], ""warnings"": [], ""availability"": ""all_day"", ""closure_rules"": [], ""assumption_reason"": ""always_open_text""}",parsed,operating-hours-1.2.0,"2026-06-05 01:54:20+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",success,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:40.955853+00","2026-08-09 02:40:01.534897+00",,,,,https://tong.visitkorea.or.kr/cms/resource/78/3493278_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/78/3493278_image3_1.jpg,,,,,
1102845,12,이화벽화마을,"서울특별시 종로구 이화장길 70-11 (동숭동)",37.578684289,127.005077855,11,110,VE,VE04,VE040200,"상시 개방",연중무휴,"{""rules"": [], ""warnings"": [], ""availability"": ""all_day"", ""closure_rules"": [], ""assumption_reason"": ""always_open_text""}",parsed,operating-hours-1.2.0,"2026-06-19 00:32:09+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",success,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:41.225101+00","2026-08-09 02:40:01.534897+00",가능,,,,https://tong.visitkorea.or.kr/cms/resource_photo/63/3580663_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource_photo/63/3580663_image3_1.jpg,,,,,
1112029,14,"창덕궁 소극장","서울특별시 종로구 창경궁로 227 (명륜4가)",37.5824805174,126.9977743679,11,110,VE,VE06,VE060100,"공연 별로 상이함","공연 별로 상이함","{""rules"": [], ""warnings"": [""운영시간을 구조화하지 못했습니다.""], ""availability"": ""unknown"", ""closure_rules"": [], ""assumption_reason"": null}",partial,operating-hours-1.2.0,"2025-11-24 05:37:15+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",success,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:41.296349+00","2026-08-09 02:40:01.534897+00",불가능,,"공연 별로 상이함",,http://tong.visitkorea.or.kr/cms/resource/32/3572432_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/3572432_image3_1.jpg,,,,,
1120046,39,길복정,"서울특별시 종로구 새문안로5가길 13",37.5731543641882,126.973743943223,11,110,FD,FD01,FD010100,10:00~22:00,연중무휴,"{""rules"": [{""months"": null, ""weekdays"": null, ""source_text"": ""10:00~22:00"", ""time_ranges"": [{""end"": ""22:00"", ""start"": ""10:00"", ""crosses_midnight"": false}], ""last_admission"": null}], ""warnings"": [], ""availability"": ""scheduled"", ""closure_rules"": [], ""assumption_reason"": null}",parsed,operating-hours-1.2.0,"2026-03-13 07:22:01+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",success,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:40.721834+00","2026-08-09 02:40:01.534897+00",불가능,,,,,,,,,,
1154331,39,"파툼(FATUM)","서울특별시 종로구 삼청로 86-5",37.5831477413936,126.982120618356,11,110,FD,FD05,FD050100,12:00~22:00,"매주 화요일","{""rules"": [{""months"": null, ""weekdays"": null, ""source_text"": ""12:00~22:00"", ""time_ranges"": [{""end"": ""22:00"", ""start"": ""12:00"", ""crosses_midnight"": false}], ""last_admission"": null}], ""warnings"": [], ""availability"": ""scheduled"", ""closure_rules"": [{""weekdays"": [1], ""source_text"": ""매주 화요일""}], ""assumption_reason"": null}",parsed,operating-hours-1.2.0,"2026-02-19 08:48:59+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",success,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:41.371579+00","2026-08-09 02:40:01.534897+00",불가능,,,,,,,,,,
1187220,12,"동대문 문구완구거리 (창신동 문구완구시장)","서울특별시 종로구 종로52길 36 (창신동)",37.5712314101936,127.014447843755,11,110,VE,VE04,VE040100,"월요일~금요일 08:00~19:00※점포 별로 상이함","매주 토요일, 일요일※점포 별로 상이함","{""rules"": [{""months"": null, ""weekdays"": [0, 1, 2, 3, 4], ""source_text"": "" 08:00~19:00※점포 별로 상이함"", ""time_ranges"": [{""end"": ""19:00"", ""start"": ""08:00"", ""crosses_midnight"": false}], ""last_admission"": null}], ""warnings"": [], ""availability"": ""scheduled"", ""closure_rules"": [{""weekdays"": [5, 6], ""source_text"": ""매주 토요일, 일요일※점포 별로 상이함""}], ""assumption_reason"": null}",parsed,operating-hours-1.2.0,"2026-03-19 00:49:59+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",success,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:40.808988+00","2026-08-09 02:40:01.534897+00",불가능,,,,https://tong.visitkorea.or.kr/cms/resource/04/3499204_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/04/3499204_image3_1.jpg,,,,,
1196883,28,"[북한산 둘레길 7구간] 옛성길","서울특별시 종로구 구기동 (탕춘대성 암문입구~북한산생태공원 상단)",37.609,126.9567,11,110,LS,LS01,LS011900,"상시 개방",연중무휴,"{""rules"": [], ""warnings"": [], ""availability"": ""all_day"", ""closure_rules"": [], ""assumption_reason"": ""always_open_text""}",parsed,operating-hours-1.2.0,"2026-03-12 08:39:43+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",success,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:41.44801+00","2026-08-09 02:40:01.534897+00",,,,,https://tong.visitkorea.or.kr/cms/resource/11/3500011_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/11/3500011_image3_1.jpg,,,,,
1196890,28,"[북한산 둘레길 6구간] 평창마을길","서울특별시 종로구 평창동 (형제봉 입구~탕춘대성 암문입구)",37.612869,126.982165,11,110,LS,LS01,LS011900,"상시 개방",연중무휴,"{""rules"": [], ""warnings"": [], ""availability"": ""all_day"", ""closure_rules"": [], ""assumption_reason"": ""always_open_text""}",parsed,operating-hours-1.2.0,"2026-03-12 00:08:40+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",success,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:41.44801+00","2026-08-09 02:40:01.534897+00",,,,,https://tong.visitkorea.or.kr/cms/resource/26/3500026_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/26/3500026_image3_1.jpg,,,,,
1202753,14,자하미술관,"서울특별시 종로구 창의문로5가길 46 (부암동)",37.5893766284906,126.960302828185,11,110,VE,VE07,VE070600,"10:00~18:00 (입장 마감 17:30)","매주 월요일","{""rules"": [{""months"": null, ""weekdays"": null, ""source_text"": ""10:00~18:00 (입장 마감 17:30)"", ""time_ranges"": [{""end"": ""18:00"", ""start"": ""10:00"", ""crosses_midnight"": false}], ""last_admission"": ""17:30""}], ""warnings"": [], ""availability"": ""scheduled"", ""closure_rules"": [{""weekdays"": [0], ""source_text"": ""매주 월요일""}], ""assumption_reason"": null}",parsed,operating-hours-1.2.0,"2026-03-12 04:50:57+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",success,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:41.296349+00","2026-08-09 02:40:01.534897+00",,,무료,,https://tong.visitkorea.or.kr/cms/resource/60/3496560_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/60/3496560_image3_1.jpg,,,,,
126479,12,인왕산,"서울특별시 종로구 옥인동",37.585,126.9593,11,110,NA,NA01,NA010100,"상시 개방",연중무휴,"{""rules"": [], ""warnings"": [], ""availability"": ""all_day"", ""closure_rules"": [], ""assumption_reason"": ""always_open_text""}",parsed,operating-hours-1.2.0,"2026-03-05 08:08:51+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",success,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:41.225101+00","2026-08-09 02:40:01.534897+00",,,,,https://tong.visitkorea.or.kr/cms/resource/78/3493378_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/78/3493378_image3_1.jpg,,,,,
126484,12,경희궁,"서울특별시 종로구 새문안로 45",37.5703879399457,126.968491756842,11,110,HS,HS01,HS010100,"09:00~18:00 (입장 마감 17:30)","매주 월요일 / 1월 1일","{""rules"": [{""months"": null, ""weekdays"": null, ""source_text"": ""09:00~18:00 (입장 마감 17:30)"", ""time_ranges"": [{""end"": ""18:00"", ""start"": ""09:00"", ""crosses_midnight"": false}], ""last_admission"": ""17:30""}], ""warnings"": [], ""availability"": ""scheduled"", ""closure_rules"": [{""weekdays"": [0], ""source_text"": ""매주 월요일 / 1월 1일""}], ""assumption_reason"": null}",parsed,operating-hours-1.2.0,"2026-03-05 00:58:51+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",success,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:40.721834+00","2026-08-09 02:40:01.534897+00",가능,,,,https://tong.visitkorea.or.kr/cms/resource/37/3482237_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/37/3482237_image3_1.jpg,,,,,
126487,12,마로니에공원,"서울특별시 종로구 대학로 104",37.5802419773,127.0027239807,11,110,VE,VE03,VE030100,"상시 개방",연중무휴,"{""rules"": [], ""warnings"": [], ""availability"": ""all_day"", ""closure_rules"": [], ""assumption_reason"": ""always_open_text""}",parsed,operating-hours-1.2.0,"2025-07-18 00:00:00+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",success,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:40.882874+00","2026-08-09 02:40:01.534897+00",가능,,,,http://tong.visitkorea.or.kr/cms/resource/35/3506735_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/3506735_image3_1.jpg,,,,,
126488,12,삼청공원,"서울특별시 종로구 삼청로 156 (삼청동)",37.5889267212,126.982819993,11,110,VE,VE03,VE030100,"상시 개방",연중무휴,"{""rules"": [], ""warnings"": [], ""availability"": ""all_day"", ""closure_rules"": [], ""assumption_reason"": ""always_open_text""}",parsed,operating-hours-1.2.0,"2025-11-03 06:26:19+00","2026-08-09 02:40:01.200497+00","2026-08-08 05:25:57.108297+00","2026-08-09 02:40:01.200497+00",success,,t,,,ff209a47-72a7-46d0-b190-0a427a9afb0a,"2026-07-23 17:11:40.955853+00","2026-08-09 02:40:01.534897+00",가능,,,,http://tong.visitkorea.or.kr/cms/resource/72/3400072_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/72/3400072_image3_1.JPG,,,,,
